"","cluster_house","dom","cluster"
"1",7,38218.9236111111,"A"
"2",5,30740.5863377609,"B"
"3",6,26640.3305322129,"C"
"4",13,23732.8143589744,"D"
"5",8,21497.1591062965,"E"
"6",4,20335.0772413793,"F"
"7",10,19624.5464374827,"G"
"8",9,18107.4453125,"H"
"9",12,16765.9230621273,"I"
"10",11,15396.6335290545,"J"
"11",2,13921.7842347526,"K"
"12",1,11839.4631578947,"L"
"13",3,5712.04385964912,"M"
