"","cluster_house","dom","cluster"
"1",6,37137.2565445026,"A"
"2",1,29788.9569093611,"B"
"3",11,25760.1398243045,"C"
"4",9,22914.9346217105,"D"
"5",7,20633.5390185036,"E"
"6",2,20313.4751381215,"F"
"7",4,18705.0062552127,"G"
"8",10,17179.8263483643,"H"
"9",12,15696.15433213,"I"
"10",3,14113.612493778,"J"
"11",8,12020.8171070932,"K"
"12",5,5716.88695652174,"L"
