"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01008066,,937,,9,5,13,9,8,10,7,10,16,12,16,17,24,18,18,19,12,20,12,13,14,11,11,13,4,3,5,5,8,7,1,3,2,4,6,2,8,5,8,7,8,10,19,13,18,16,22,11,12,13,20,22,22,19,7,15,17,13,11,16,14,13,15,12,17,13,12,8,10,15,8,11,5,8,9,5,6,8,6,7,4,5,4,4,5,1,4,2,1,2,4
S01008067,,627,,4,1,3,5,4,5,7,9,9,6,10,5,7,12,8,10,11,10,11,7,9,6,9,6,5,4,1,1,1,0,2,3,2,6,8,2,3,6,6,6,3,7,5,12,6,9,9,14,11,11,11,13,8,6,17,10,20,11,12,10,3,12,13,13,10,4,11,7,9,8,7,7,6,15,10,6,9,9,2,2,2,4,4,4,5,3,1,2,1,2,1
S01008068,,895,,5,5,7,6,10,7,9,9,6,10,8,7,11,11,12,9,6,10,9,7,9,14,10,10,11,12,7,13,3,6,3,8,2,7,7,8,3,9,8,10,16,17,10,21,12,10,11,11,12,19,17,11,16,16,22,18,26,14,12,17,13,6,12,11,13,9,13,16,14,13,16,8,12,15,15,5,11,7,10,7,8,3,3,2,2,1,4,1,1,2,10
S01008069,,935,,9,7,7,13,7,5,5,12,9,9,9,16,9,10,9,14,9,12,12,19,12,9,12,9,8,11,9,3,11,4,7,6,9,14,4,10,10,13,18,10,12,18,17,17,15,22,16,17,22,18,15,12,12,15,5,10,15,15,15,8,9,15,17,10,12,8,13,20,8,13,10,9,10,10,6,8,5,7,10,10,4,2,3,6,9,4,0,3,1,2,4
S01008070,,884,,10,7,9,8,11,8,12,7,4,5,10,12,4,10,13,13,9,12,11,19,8,13,6,10,10,14,7,5,7,7,9,8,5,2,12,11,6,8,9,15,6,9,20,12,19,7,14,14,11,18,26,13,12,13,15,18,12,15,11,12,29,18,12,18,18,15,12,11,13,8,5,9,9,3,5,13,6,4,1,4,5,5,5,2,1,2,1,3,0,1,3
S01008071,,687,,13,5,6,8,7,13,4,9,9,5,4,9,6,6,7,6,10,16,7,8,10,9,7,6,1,4,1,6,7,2,8,3,6,7,12,4,11,4,8,10,20,12,8,18,11,10,10,11,10,5,16,14,15,16,12,11,15,14,11,6,9,6,7,7,10,3,9,10,8,6,2,2,6,3,7,7,5,2,4,3,4,5,7,6,5,4,4,0,0,2,5
S01008072,,867,,13,6,9,11,8,14,6,15,6,8,8,8,9,9,10,9,9,10,15,18,7,9,5,13,6,6,7,10,13,8,11,10,8,9,4,8,5,9,7,12,22,12,13,13,12,12,14,15,13,18,16,13,18,19,20,10,10,8,16,11,12,11,4,8,10,13,6,7,8,5,3,4,6,5,2,4,4,4,2,4,8,9,11,4,13,6,5,3,3,5,25
S01008073,,476,,5,2,5,7,3,6,8,2,2,5,4,2,6,5,4,5,2,7,7,8,4,4,10,6,5,4,4,2,1,2,8,3,2,1,5,2,6,7,6,3,6,4,7,9,5,4,8,9,10,12,8,11,9,8,7,11,5,11,8,7,4,1,3,7,9,4,8,8,6,5,2,6,6,5,6,0,5,5,2,4,6,3,3,4,10,4,3,4,1,0,3
S01008074,,972,,7,5,7,8,11,9,16,7,11,9,14,8,10,18,10,18,15,16,3,12,13,13,11,10,7,9,5,4,6,6,5,6,11,6,10,8,7,2,14,16,21,18,17,10,14,11,21,15,20,16,11,17,17,13,19,25,19,13,17,13,20,17,12,15,23,14,8,13,5,13,5,8,6,6,6,6,5,10,2,9,7,8,4,5,8,8,3,6,2,3,5
S01008075,,609,,4,3,4,2,4,4,10,5,6,13,3,15,10,12,13,7,11,8,9,4,3,15,3,1,1,6,4,0,2,0,0,2,1,3,4,2,2,1,4,8,7,7,7,10,12,12,12,16,13,8,16,5,5,10,5,8,7,5,2,6,6,10,11,9,10,9,13,9,11,8,6,6,6,10,10,9,10,11,11,8,6,2,3,4,5,4,4,4,0,2,10
S01008076,,665,,3,6,4,3,4,3,8,5,3,5,7,5,4,5,4,7,7,2,3,0,5,5,6,5,1,6,3,2,2,1,6,2,6,6,4,5,4,5,6,10,5,9,11,4,6,7,3,12,3,6,10,1,8,7,2,7,9,9,10,13,7,10,15,7,17,11,15,14,17,10,10,11,14,6,15,6,12,14,14,16,13,13,5,11,13,8,6,5,7,5,18
S01008077,,814,,6,4,5,7,9,13,16,8,13,9,3,8,16,9,12,10,10,11,12,6,5,6,4,6,6,3,3,6,3,2,4,1,3,3,6,8,7,5,4,9,15,11,11,12,11,16,13,12,16,15,16,14,18,12,12,16,14,7,14,7,13,13,15,16,11,14,13,6,6,8,7,14,7,14,4,7,9,8,12,3,4,6,8,12,4,9,7,5,1,4,11
S01008078,,863,,10,4,7,5,3,9,9,14,8,7,11,14,19,9,13,19,8,11,11,15,14,14,14,7,6,7,5,3,2,5,5,2,6,5,12,6,10,8,7,6,10,13,15,11,8,19,11,14,15,11,16,9,15,12,11,7,12,13,9,11,11,10,13,9,22,11,16,10,8,10,11,8,12,6,7,10,16,13,5,5,4,3,9,5,3,5,6,5,9,2,7
S01008079,,903,,9,14,8,14,12,10,14,12,7,10,16,10,15,10,3,8,7,2,7,8,13,4,5,7,7,9,4,10,5,6,5,10,8,8,7,8,12,13,10,14,13,15,10,9,16,11,9,9,4,12,7,10,5,16,10,15,11,15,17,16,13,17,21,19,21,9,11,13,24,10,13,14,12,12,15,8,10,16,8,7,5,4,7,3,0,5,2,3,3,2,5
S01008080,,707,,6,10,4,8,13,9,14,9,8,10,9,11,10,10,6,7,9,6,11,3,7,3,6,3,5,7,6,2,2,4,2,7,5,11,7,5,8,11,7,16,8,11,9,10,14,12,14,11,12,8,11,13,14,8,14,8,9,12,10,11,7,9,13,9,9,7,8,10,5,8,10,8,8,9,7,6,5,6,5,6,6,8,2,3,3,5,3,1,2,1,2
S01008081,,594,,4,6,6,10,3,7,10,4,6,7,8,8,2,9,7,7,9,9,8,5,5,10,7,9,3,7,5,7,3,5,1,5,2,7,7,6,0,7,8,6,7,7,4,12,8,6,10,14,10,10,8,13,14,11,17,15,10,11,3,9,11,8,11,4,7,7,10,7,3,5,7,7,4,3,6,4,7,3,2,4,4,5,2,4,4,3,2,0,2,3,1
S01008082,,827,,12,3,7,9,7,10,10,9,7,14,7,8,12,10,7,6,5,11,4,6,7,8,7,16,8,4,10,7,6,9,8,1,6,10,8,8,11,13,11,10,13,13,11,6,9,15,14,12,11,9,9,12,20,12,21,17,14,11,11,13,12,17,11,13,12,10,12,15,10,10,3,6,9,10,9,11,6,8,8,6,6,6,6,6,5,4,4,2,2,0,3
S01008083,,720,,8,7,8,12,6,7,8,6,8,9,4,10,5,11,13,13,11,9,15,8,7,7,8,6,8,5,6,9,9,5,5,5,8,7,3,4,9,10,2,14,11,12,8,6,14,15,11,7,11,13,7,14,8,12,10,14,9,11,13,6,8,3,13,11,8,8,11,11,10,14,10,6,13,8,10,8,7,5,3,5,4,4,3,3,3,1,1,0,0,0,2
S01008084,,850,,4,3,5,10,5,9,8,10,11,15,10,8,9,12,8,14,13,11,19,10,8,11,13,11,6,5,5,5,6,2,6,8,8,3,11,7,5,3,7,7,20,15,21,13,14,9,17,10,13,12,17,21,11,15,12,13,12,14,10,10,10,15,18,17,25,11,8,20,5,10,8,14,6,8,8,6,7,12,1,2,6,1,4,1,4,4,0,3,2,0,4
S01008085,,971,,4,7,9,12,10,11,13,10,7,12,13,15,8,13,19,14,14,27,14,13,12,11,17,13,14,12,5,3,4,6,5,5,11,4,6,4,2,13,10,6,14,13,10,12,12,18,26,18,15,17,15,22,27,21,16,27,28,18,9,15,22,17,18,18,19,6,16,7,7,8,5,4,5,4,6,4,4,4,5,4,5,1,3,2,3,2,4,1,3,0,3
S01008086,,"1,093",,11,10,9,11,17,5,16,18,20,19,12,18,13,19,14,16,14,12,16,11,14,13,15,9,9,9,19,5,8,11,11,6,6,13,8,11,10,15,6,19,15,9,15,18,18,22,20,28,23,24,20,20,27,23,14,17,13,21,16,24,20,10,14,8,17,11,15,7,13,5,5,7,12,7,6,7,6,6,2,2,5,5,2,3,3,3,3,0,1,0,3
S01008087,,858,,6,5,8,12,10,7,15,5,14,9,12,12,12,17,10,12,12,11,10,6,9,8,11,6,9,9,8,4,5,4,2,1,3,3,9,7,10,9,6,9,14,15,11,9,12,21,10,16,12,14,13,15,12,15,22,15,9,11,9,7,7,14,8,8,8,7,11,6,8,13,7,10,15,18,8,9,17,8,12,13,13,8,6,10,5,3,2,1,1,1,2
S01008088,,913,,5,5,9,5,12,5,4,5,14,8,8,8,15,9,10,12,7,10,13,13,11,14,10,14,11,9,12,4,8,2,6,6,3,3,10,10,10,9,6,10,10,13,10,11,14,15,17,15,15,17,11,17,20,15,9,12,15,11,12,9,12,8,4,17,11,13,13,13,16,12,21,12,15,14,18,9,14,10,13,11,8,11,5,5,4,4,5,0,1,1,0
S01008089,,654,,4,6,9,8,6,6,5,6,5,8,8,7,7,8,7,11,9,9,9,13,8,13,4,13,5,6,3,4,5,3,5,3,5,8,10,7,5,8,8,3,7,6,7,8,14,11,11,16,16,8,16,11,6,7,15,12,13,8,8,9,10,5,8,3,10,8,8,10,7,13,7,8,5,9,8,2,7,5,3,9,2,6,5,2,1,0,3,1,1,2,0
S01008090,,762,,9,4,8,6,17,5,10,9,7,10,14,9,10,6,12,14,7,15,5,8,11,10,5,7,7,8,5,6,2,9,9,6,3,5,8,10,10,4,7,16,12,13,11,8,11,16,14,12,8,16,20,14,14,10,12,15,5,8,2,9,10,13,13,12,15,4,6,6,4,3,3,4,9,6,11,5,11,9,9,5,6,7,7,3,5,3,3,2,1,1,3
S01008091,,374,,1,5,4,4,1,3,3,5,1,1,3,2,5,3,7,1,2,7,2,6,5,5,4,5,8,2,0,1,3,1,2,2,2,2,5,0,5,6,5,2,4,1,6,3,3,1,6,8,6,6,11,12,10,5,3,11,10,6,8,9,2,4,10,5,6,11,0,4,4,4,7,3,3,3,5,3,4,11,7,2,4,2,1,4,3,0,0,0,0,1,1
S01008092,,896,,7,5,5,7,7,8,6,7,7,10,7,13,11,13,14,11,15,8,18,8,17,10,7,11,8,7,2,4,3,4,2,3,6,4,2,9,4,6,6,4,10,13,19,10,12,14,13,17,21,15,16,13,15,14,15,11,14,7,4,6,12,14,12,8,4,11,15,11,11,10,15,19,19,19,19,18,11,17,14,9,14,14,6,6,6,4,5,2,3,3,0
S01008093,,827,,9,7,9,8,5,9,6,8,14,12,8,3,9,9,8,18,5,14,10,17,12,15,10,11,10,8,3,4,6,2,7,5,2,7,7,8,7,7,5,10,11,8,13,10,14,10,7,21,11,11,20,10,9,7,7,15,14,11,10,10,8,8,15,10,14,5,6,8,7,8,9,7,18,9,14,10,6,4,14,15,9,11,13,5,5,4,8,3,5,0,6
S01008094,,666,,9,2,4,3,1,8,3,3,6,6,12,10,6,16,14,10,8,13,5,11,6,10,4,7,9,5,4,3,2,4,5,6,2,1,3,3,4,5,8,3,9,12,15,6,5,13,15,17,17,12,13,9,7,12,8,15,6,8,11,9,8,10,7,8,11,7,7,7,16,11,7,9,10,9,10,10,8,4,11,3,5,8,4,1,1,3,2,1,0,3,2
S01008095,,730,,4,2,6,5,12,6,5,6,6,7,3,7,11,4,7,1,7,8,4,10,14,11,13,4,8,6,3,7,4,1,7,8,5,5,7,8,4,8,9,11,10,10,11,9,8,8,6,20,13,12,8,16,15,18,12,12,18,11,10,12,6,5,6,11,8,5,5,7,10,9,9,17,16,10,10,14,12,6,8,6,5,9,8,6,2,1,4,6,1,0,5
S01008096,,786,,5,7,7,5,10,7,2,4,4,11,2,12,9,7,7,13,10,6,11,7,14,7,11,6,6,9,7,5,5,6,5,1,4,2,7,2,9,8,7,7,8,9,6,10,13,7,17,10,7,13,7,11,14,6,11,10,13,13,11,13,13,10,11,14,15,14,11,12,12,8,12,8,8,11,19,10,13,13,10,7,14,8,5,8,5,4,4,7,7,1,9
S01008097,,627,,3,4,3,7,2,3,3,5,6,4,7,7,5,9,10,7,9,10,11,9,8,8,11,5,6,3,2,2,2,2,1,5,2,4,2,2,3,3,8,10,5,9,4,5,6,7,10,12,17,13,9,11,11,10,13,12,14,6,5,8,5,7,2,7,6,5,8,6,15,7,7,9,9,8,16,9,6,8,3,13,7,12,8,10,6,4,6,1,4,3,10
S01008098,,748,,7,5,9,7,4,9,6,8,8,7,6,7,13,8,11,15,14,8,7,10,8,9,8,8,6,11,5,2,7,6,3,6,6,4,5,12,3,8,12,11,7,10,10,9,16,7,15,10,13,13,18,9,11,13,17,10,9,10,18,14,7,10,9,12,5,9,7,7,7,7,4,5,7,11,10,9,16,6,12,3,5,5,5,2,7,3,3,2,2,1,2
S01008099,,543,,7,11,5,5,6,3,11,2,5,5,6,4,4,7,5,16,16,18,4,12,6,5,3,7,4,4,6,7,4,3,4,9,3,1,7,2,5,12,13,10,8,8,5,10,4,9,11,5,13,10,6,7,8,8,4,11,5,10,5,10,5,9,10,7,2,4,8,8,3,6,2,1,10,3,2,9,2,3,4,4,5,2,2,2,0,0,2,0,2,0,2
S01008100,,946,,4,5,5,6,12,4,6,10,6,12,15,8,9,17,8,15,11,12,14,15,7,14,8,7,10,10,4,12,3,10,2,4,7,4,5,4,8,9,20,6,12,13,20,10,18,13,9,7,8,8,21,18,14,25,23,13,10,16,14,13,10,18,11,4,13,15,11,9,9,16,9,23,18,7,12,7,12,13,8,10,6,17,7,13,6,3,5,8,0,4,9
S01008101,,809,,14,7,11,15,6,12,10,12,14,14,9,6,5,12,10,14,10,11,6,11,15,6,15,5,6,9,8,23,5,11,8,10,12,5,11,10,7,6,19,21,8,14,18,21,9,18,13,15,22,15,10,14,9,13,19,12,9,9,10,10,4,7,11,6,7,8,6,7,6,3,2,4,7,6,4,4,0,3,4,2,3,5,4,1,2,0,0,2,0,1,1
S01008102,,821,,4,14,6,7,13,7,7,7,8,7,5,6,7,9,9,6,10,10,13,14,15,11,8,13,9,10,8,7,14,3,5,7,10,6,5,11,6,10,14,9,9,6,18,15,16,11,13,13,13,17,14,15,11,11,10,9,12,15,9,11,8,14,6,12,13,15,7,13,14,7,5,6,4,5,7,6,5,7,3,4,6,8,4,7,2,7,1,4,2,1,20
S01008103,,618,,8,6,7,7,5,4,5,3,2,6,6,2,7,6,5,10,5,3,8,9,6,6,7,8,9,5,9,8,9,15,13,12,7,6,4,4,8,8,11,11,7,19,4,17,8,17,9,9,11,16,6,5,9,4,6,7,1,5,5,6,8,11,6,4,2,4,5,6,5,4,9,5,7,10,7,9,7,3,10,5,4,9,6,4,2,2,3,1,3,1,5
S01008104,,856,,6,12,6,10,6,5,4,6,9,14,12,9,13,14,5,16,13,9,15,13,9,11,8,10,15,17,8,10,13,9,11,17,14,16,9,7,4,4,11,8,16,17,10,11,8,7,13,15,12,12,12,17,23,12,11,10,7,10,13,10,10,15,7,11,10,9,10,11,7,8,9,9,10,4,10,6,4,5,9,4,4,1,2,3,7,2,3,1,2,5,4
S01008105,,"1,076",,13,10,14,19,10,9,13,10,10,8,17,14,10,14,20,26,18,15,12,12,9,15,14,11,11,12,6,11,7,12,14,11,13,17,12,9,18,15,8,18,22,17,22,12,32,14,13,25,12,20,21,13,19,16,24,10,9,14,13,13,14,9,15,5,15,6,5,8,11,17,10,6,11,3,5,9,4,9,8,3,3,4,3,6,2,6,2,7,1,1,10
S01008106,,781,,5,8,11,3,10,11,8,8,10,11,12,10,8,15,9,10,8,4,9,4,12,8,12,13,4,9,7,12,7,9,4,5,7,5,3,7,1,3,6,8,19,16,7,23,19,15,10,7,9,17,16,13,14,18,13,10,13,12,5,14,11,11,11,13,12,8,6,9,10,6,6,8,5,9,7,5,8,4,5,7,7,5,2,2,4,3,3,1,2,1,4
S01008107,,916,,13,16,12,25,21,18,22,14,24,14,18,20,19,22,16,15,14,11,17,12,9,13,6,6,5,9,7,7,6,6,6,10,12,18,8,17,11,12,18,25,28,19,18,29,24,18,22,18,13,14,14,12,9,19,16,6,8,9,8,7,10,2,4,0,3,4,4,1,2,1,1,0,3,2,2,0,2,2,1,1,1,0,0,0,0,1,0,1,0,0,3
S01008108,,649,,5,7,6,9,5,7,7,8,7,8,11,10,8,3,6,7,7,9,10,10,11,14,14,12,6,7,9,4,9,4,5,9,8,9,3,8,10,5,10,13,9,12,7,6,9,6,4,14,14,11,12,10,17,14,12,10,17,12,16,13,14,13,6,8,9,9,3,3,7,5,6,5,5,3,0,1,0,0,0,0,1,0,1,2,0,0,0,1,1,1,0
S01008109,,945,,6,10,13,11,11,9,11,17,5,13,7,11,12,12,19,16,10,14,17,14,10,12,10,17,9,9,11,5,7,10,14,6,10,7,5,11,8,8,14,14,9,11,11,11,13,11,11,15,21,20,20,21,18,22,23,11,14,16,18,13,15,5,11,8,21,7,13,15,11,8,7,11,12,15,11,4,4,5,1,5,0,3,3,1,1,1,0,1,0,1,1
S01008110,,878,,9,9,13,9,10,11,12,14,14,11,8,10,13,15,17,9,14,11,6,18,11,4,16,12,19,13,13,2,10,13,10,7,7,3,10,13,4,8,12,13,15,20,18,17,15,18,16,28,15,16,17,11,14,13,19,10,12,9,8,5,8,1,8,12,5,4,5,6,8,8,7,6,7,12,6,5,7,7,4,6,2,3,3,1,1,1,0,1,1,1,3
S01008111,,879,,8,7,8,5,5,10,5,7,7,6,4,13,7,5,11,9,17,14,9,14,17,16,11,13,10,8,6,10,10,8,9,5,2,3,10,5,8,6,6,4,10,3,8,10,11,19,19,11,13,23,13,7,15,14,10,5,17,18,13,9,9,12,20,19,16,12,15,7,11,7,12,10,9,12,9,7,11,17,7,15,3,4,11,5,9,5,4,3,5,0,7
S01008112,,816,,1,6,6,3,6,4,9,7,7,7,9,5,2,8,14,7,10,5,12,16,14,14,10,14,10,8,3,8,6,6,3,3,4,5,6,3,6,10,8,13,5,7,11,11,9,9,13,12,10,19,13,11,15,21,13,15,5,19,6,8,6,16,10,18,5,8,19,16,11,5,14,17,12,11,16,20,13,15,13,8,2,7,3,5,3,3,3,3,0,2,2
S01008113,,882,,6,2,6,9,3,8,5,4,5,6,6,3,12,8,15,10,9,14,11,14,9,19,15,16,7,16,6,5,8,6,7,4,11,7,3,5,7,4,7,12,6,10,10,14,14,10,12,10,15,16,20,22,8,15,14,19,10,14,20,9,14,9,17,14,19,6,7,8,13,16,9,18,9,14,13,20,15,8,13,12,9,5,4,6,2,0,1,1,0,0,2
S01008114,,694,,6,5,5,6,2,7,8,7,11,6,8,5,11,8,12,5,8,7,10,8,10,7,8,5,11,7,5,5,5,3,4,6,5,4,7,10,5,8,11,10,9,6,10,6,13,8,12,18,8,14,7,6,15,18,7,11,12,13,11,4,11,7,7,8,14,7,6,6,9,8,13,13,7,12,8,10,9,8,10,4,4,2,2,4,7,3,2,0,0,1,3
S01008115,,915,,5,6,4,9,5,11,6,6,8,12,14,15,10,11,16,13,14,14,18,11,22,20,14,11,5,7,5,10,14,16,11,10,10,6,13,15,9,5,11,9,12,17,12,11,23,18,20,20,21,24,21,21,17,17,9,19,13,17,12,8,14,10,10,10,16,9,9,6,6,8,6,2,6,6,4,8,0,2,7,2,1,0,2,2,2,3,0,0,0,1,0
S01008116,,929,,7,7,5,11,11,8,15,16,9,11,11,13,9,15,13,12,11,19,10,10,17,9,11,8,4,12,8,8,10,4,12,6,8,6,8,9,11,7,13,8,7,12,17,11,6,17,27,23,12,17,14,14,14,12,16,11,15,12,17,11,14,12,21,20,26,17,10,15,8,5,17,5,8,7,7,7,6,6,4,4,5,3,5,6,1,0,1,1,0,1,0
S01008117,,794,,6,4,8,5,4,8,8,16,5,9,9,1,8,11,6,9,15,7,13,12,11,10,11,12,3,1,10,5,3,3,4,1,1,2,1,6,6,10,4,14,6,9,11,12,6,9,11,17,14,13,15,17,14,15,14,8,11,8,14,9,13,11,14,20,14,16,17,10,8,4,6,19,10,13,10,10,11,12,12,8,12,4,2,3,3,3,4,3,0,2,5
S01008118,,879,,8,14,9,11,14,13,10,7,17,10,11,10,12,13,15,16,12,6,6,12,7,8,6,7,5,10,4,9,6,5,3,10,14,6,12,7,9,7,13,19,21,13,9,12,16,16,15,7,12,11,14,14,9,8,13,18,12,8,12,9,11,7,7,13,14,4,10,12,10,6,9,7,8,14,3,6,5,11,7,13,6,6,2,9,7,5,3,2,11,3,6
S01008119,,664,,5,7,7,7,6,9,6,11,7,14,10,11,3,11,6,7,7,11,13,10,10,7,11,13,6,1,3,3,10,8,7,12,10,9,3,6,10,10,9,8,6,8,14,6,8,8,4,5,12,10,10,7,13,18,6,16,11,6,11,8,3,9,11,8,8,6,2,11,9,10,4,9,3,10,7,3,9,4,2,3,2,5,5,1,3,2,0,1,1,1,1
S01008120,,639,,6,7,10,9,8,8,5,16,6,4,7,3,7,8,6,6,6,7,7,6,7,3,9,8,2,10,6,2,3,8,6,6,9,9,2,7,9,10,12,6,3,4,10,3,9,6,11,12,5,13,8,15,9,11,9,7,8,8,5,4,4,6,7,12,8,10,6,16,9,5,6,6,4,10,4,9,8,8,3,9,3,5,2,5,8,8,2,3,2,1,14
S01008121,,665,,4,6,2,3,9,7,4,7,6,6,9,12,5,6,11,8,13,7,5,5,3,5,6,4,6,5,7,2,2,2,1,3,7,7,8,7,2,5,6,7,5,5,9,13,10,6,14,14,10,10,14,4,7,6,6,12,7,10,15,15,9,13,14,8,14,11,9,15,14,12,13,8,8,8,4,3,11,4,4,6,5,8,7,9,6,2,4,4,3,5,2
S01008122,,766,,11,9,9,7,8,13,7,8,5,14,11,14,12,11,10,18,9,15,10,11,13,9,9,8,2,8,6,4,0,5,3,3,2,6,13,9,12,7,18,4,11,7,4,8,18,12,15,13,14,18,14,12,16,6,14,8,7,8,9,6,13,11,17,11,10,14,7,6,4,4,9,3,5,5,9,1,6,5,3,7,4,2,7,5,6,6,3,3,1,2,4
S01008123,,899,,1,6,6,10,10,7,5,7,10,7,13,12,14,6,9,12,20,17,14,8,12,11,11,7,10,9,7,3,7,7,3,7,6,7,9,5,9,7,9,4,10,6,10,15,12,13,11,24,16,18,17,12,18,13,10,15,3,12,5,10,14,24,10,15,17,16,19,17,20,17,12,7,6,10,10,11,11,5,6,5,8,9,3,4,2,3,7,5,3,2,7
S01008124,,838,,8,6,7,7,7,11,11,9,7,10,15,10,14,18,16,11,19,15,15,9,10,9,10,9,2,4,7,4,4,5,5,6,8,5,4,4,9,11,14,12,9,15,9,9,20,20,18,15,16,19,18,14,11,8,11,11,19,17,11,8,8,12,15,11,22,9,10,10,14,8,16,12,6,4,5,3,1,5,3,3,2,3,2,1,2,0,1,0,0,1,4
S01008125,,894,,8,7,15,7,6,8,14,15,5,6,11,12,11,11,7,13,10,8,12,14,4,13,9,11,7,8,6,5,10,6,6,7,13,7,14,10,9,12,14,8,12,11,17,10,10,14,12,17,14,17,8,14,15,8,14,12,10,17,16,17,20,11,21,15,16,12,15,13,13,8,10,7,6,5,8,4,10,10,5,6,4,2,4,4,2,2,4,3,2,4,4
S01008126,,805,,9,5,5,7,2,8,8,13,7,9,10,14,11,11,8,14,11,16,13,11,8,11,12,7,9,9,7,9,7,4,3,7,4,8,10,8,8,9,6,9,10,4,12,14,13,10,14,20,17,19,12,21,8,10,12,17,13,12,21,19,20,17,14,17,24,13,16,11,5,3,3,1,7,3,3,2,2,3,0,0,4,3,1,3,1,0,3,0,0,0,1
S01008127,,490,,3,7,5,4,11,1,8,7,2,6,4,4,3,3,7,4,4,3,5,4,4,11,1,7,4,8,2,1,0,4,4,2,6,3,11,8,7,5,9,5,9,12,13,8,7,5,10,4,6,3,7,10,14,8,9,6,7,8,16,8,6,6,4,6,5,4,4,4,11,4,6,1,5,6,4,9,4,5,4,1,5,4,1,4,2,1,1,1,2,1,2
S01008128,,882,,8,10,6,6,9,11,6,5,8,5,10,7,9,11,7,13,24,10,15,18,11,11,12,12,8,6,5,7,5,6,7,8,4,7,4,6,6,5,5,5,9,17,13,16,15,17,14,21,14,20,13,15,21,14,14,16,13,19,13,10,15,13,15,19,12,13,10,14,8,11,10,10,10,11,13,5,8,5,6,5,5,4,4,1,4,2,1,2,1,1,2
S01008129,,900,,9,7,9,14,4,14,7,10,8,3,10,5,9,13,10,10,10,4,7,17,11,16,12,12,18,10,15,8,18,8,7,22,11,10,9,17,17,8,13,18,12,14,11,9,9,18,19,17,16,16,14,15,19,12,19,17,8,14,11,6,10,16,7,10,6,9,11,6,8,5,5,10,8,7,4,7,2,7,6,4,4,4,4,6,4,3,4,0,0,1,6
S01008130,,959,,13,11,9,7,11,9,8,5,11,11,6,7,8,6,8,11,15,10,15,25,14,17,13,14,12,18,10,23,14,11,11,3,13,10,11,10,7,17,13,11,17,16,14,8,17,19,17,10,21,14,9,15,20,17,20,10,14,18,8,12,10,5,13,12,12,9,6,11,7,8,9,7,10,8,7,10,8,8,5,6,4,5,6,4,1,2,3,1,2,2,4
S01008131,,776,,11,8,11,8,5,13,7,10,6,9,4,8,6,8,9,8,9,13,3,7,7,13,13,13,12,8,14,12,15,9,10,12,14,7,9,17,13,11,16,11,8,11,12,8,11,11,21,13,11,16,11,9,8,11,7,13,7,9,11,9,3,7,13,8,10,10,11,6,5,6,7,4,9,6,4,8,2,7,4,5,3,5,2,3,1,0,1,4,1,3,2
S01008132,,"1,033",,7,5,11,7,11,13,14,9,10,8,19,9,11,23,10,13,9,10,12,6,10,7,9,5,5,7,11,6,6,3,3,7,3,8,4,12,18,12,11,13,15,18,13,19,19,23,14,15,18,12,20,15,17,8,14,18,13,14,15,12,13,12,10,15,15,17,10,19,15,16,10,9,15,18,17,12,17,15,8,12,14,12,5,6,6,6,6,3,3,3,5
S01008133,,638,,4,12,4,9,1,6,3,2,6,5,4,7,4,7,5,7,7,2,9,8,5,6,6,10,5,5,5,11,6,6,9,5,6,3,8,3,4,1,4,3,9,8,10,12,9,10,7,6,12,13,10,7,12,5,11,15,16,5,7,3,8,13,11,9,11,9,10,11,9,6,7,9,10,8,5,9,8,9,9,6,1,10,3,5,4,6,4,3,3,4,8
