"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006515,,740,,6,2,9,8,15,12,13,10,10,12,13,18,13,17,6,13,15,11,12,7,8,8,7,5,4,3,2,1,3,3,10,2,6,8,8,4,3,6,13,8,17,14,14,12,13,23,12,8,13,6,20,13,15,8,12,13,14,15,8,9,11,17,12,4,7,13,4,7,11,2,6,3,7,3,4,7,4,2,3,3,0,4,3,3,2,1,1,0,0,0,3
S01006516,,533,,4,6,2,1,4,5,5,6,5,2,13,6,7,5,10,6,9,11,10,9,10,10,9,7,4,5,5,9,3,7,5,3,0,9,4,3,8,6,7,2,8,6,7,5,9,11,20,7,8,5,5,3,7,13,9,7,5,9,13,9,2,9,5,9,10,6,5,6,6,7,5,3,4,12,5,4,4,2,2,5,3,2,2,2,1,1,0,0,1,1,1
S01006517,,"1,017",,6,5,14,10,18,14,7,17,12,8,13,13,17,23,11,20,15,18,16,10,12,5,7,10,7,7,7,5,1,4,3,5,4,13,5,5,17,11,10,9,10,4,18,22,17,12,14,21,22,22,21,23,17,17,17,23,10,12,19,23,21,15,13,11,13,15,11,10,13,15,7,9,6,6,10,8,7,4,5,6,6,9,8,4,7,5,4,2,0,7,2
S01006518,,642,,2,3,9,9,7,4,9,9,9,11,7,4,15,6,5,11,16,11,12,2,5,3,3,2,4,2,3,4,4,6,3,3,7,3,4,5,2,4,2,13,8,7,7,10,12,8,10,13,16,17,13,5,12,14,11,10,7,8,11,17,16,12,12,5,10,9,9,11,5,11,8,6,7,6,5,3,2,9,4,3,4,11,4,1,1,1,4,0,2,0,2
S01006519,,880,,3,6,7,9,9,11,10,18,12,10,19,10,20,16,17,16,20,15,14,5,16,17,15,3,8,6,8,7,2,2,3,5,3,8,10,3,5,9,6,6,11,10,12,17,19,16,13,10,17,25,19,14,17,19,15,19,24,14,7,14,13,10,10,10,20,6,5,11,9,14,3,6,4,3,6,5,4,4,5,2,1,6,1,2,1,3,4,4,0,0,7
S01006520,,723,,1,10,8,13,16,11,18,13,10,9,18,18,12,24,14,21,19,12,11,7,8,5,7,6,2,6,3,7,0,0,0,1,1,2,3,3,11,9,18,10,10,18,10,16,20,19,12,20,16,16,24,21,15,12,5,7,9,14,8,10,9,6,8,3,8,5,5,2,5,3,6,2,0,1,2,1,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0
S01006521,,655,,9,12,6,8,6,10,13,9,15,4,9,9,7,9,7,13,8,12,8,8,6,11,7,7,3,4,4,5,1,3,10,4,6,6,6,10,10,3,9,11,8,13,12,12,15,14,21,11,17,11,13,9,10,14,6,8,17,10,8,10,6,12,14,8,5,7,4,6,3,4,5,5,5,3,1,4,1,0,0,2,0,2,3,1,2,1,0,1,1,1,1
S01006522,,568,,10,9,12,12,5,12,8,5,5,7,8,4,8,6,10,8,11,9,10,2,0,5,3,2,4,4,3,1,4,2,5,3,9,8,3,12,9,7,9,15,11,6,7,10,14,4,9,6,15,4,10,12,8,9,12,6,9,10,8,11,8,6,8,6,5,5,2,8,6,3,4,3,2,6,9,4,1,4,4,3,4,5,3,2,1,2,1,0,0,2,1
S01006523,,959,,10,12,11,8,14,13,9,10,10,12,6,17,9,14,18,11,14,13,10,3,6,11,5,9,13,13,5,11,8,6,7,6,8,8,12,9,15,18,11,13,11,16,9,13,12,19,13,8,20,14,19,15,17,18,16,17,12,9,12,10,5,14,13,10,16,16,7,8,5,10,6,10,7,14,11,4,12,8,8,6,9,4,9,10,6,9,6,4,3,4,7
S01006524,,915,,6,7,6,3,8,3,5,10,6,5,13,11,11,11,17,18,11,11,12,11,5,8,11,6,13,8,8,3,10,14,3,5,7,11,11,8,6,8,7,13,11,10,10,8,18,12,20,9,12,14,13,20,12,15,10,15,12,18,19,10,11,9,13,10,14,10,10,8,11,7,4,5,8,8,12,10,10,6,5,15,10,6,10,16,9,2,10,4,10,8,26
S01006525,,800,,8,10,1,6,9,11,9,10,4,8,9,8,13,10,19,12,11,9,4,11,8,11,4,8,8,4,4,2,7,6,3,5,6,3,3,4,7,8,7,17,16,10,18,10,17,10,10,13,11,12,14,16,15,11,7,15,11,10,7,11,13,13,9,13,16,10,12,11,14,10,9,10,7,7,13,6,13,5,7,10,11,5,6,6,0,3,4,0,0,3,3
S01006526,,890,,10,9,13,7,8,12,4,4,4,6,6,6,5,4,7,10,14,11,7,25,33,22,26,26,19,22,20,20,14,10,17,11,9,14,4,9,14,18,2,11,6,6,3,15,7,5,8,6,16,11,14,16,10,14,11,9,18,5,7,10,3,5,10,7,4,10,3,10,3,10,6,5,8,6,4,2,9,7,11,8,6,8,6,3,5,4,5,4,6,7,15
S01006527,,677,,8,9,4,16,4,12,12,4,7,6,4,9,6,8,7,5,11,14,6,11,4,15,3,23,16,11,13,10,4,7,6,6,8,7,6,8,10,4,13,12,9,6,8,15,10,6,7,7,13,12,7,12,8,8,5,5,8,12,8,13,8,9,5,8,7,4,7,2,5,6,4,6,4,9,5,5,4,3,5,4,7,4,4,4,5,3,1,1,4,1,5
S01006528,,"1,025",,14,11,9,10,12,14,10,9,10,8,11,4,10,9,10,7,14,12,15,23,34,16,17,28,27,36,23,6,18,21,19,11,17,18,19,9,10,7,11,8,16,7,5,12,15,11,19,15,14,8,16,10,8,14,6,10,11,10,14,10,9,8,9,11,5,8,9,8,6,12,11,17,6,14,15,8,5,10,5,7,5,3,4,2,3,4,4,5,1,1,2
S01006529,,888,,4,16,9,9,9,5,10,2,3,9,4,3,5,8,8,4,5,10,15,13,21,28,16,16,16,28,22,24,26,24,17,16,16,9,14,10,14,9,15,11,14,6,12,11,7,6,11,13,16,5,13,12,4,17,5,6,11,8,5,5,15,8,9,7,5,3,10,5,6,6,4,7,7,7,6,6,2,6,6,6,10,8,10,7,2,2,6,4,2,1,15
