"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Name,Council Area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+,,
S01006719,Northfield - 01,Aberdeen City,898,,8,12,14,9,23,16,13,9,11,14,22,15,7,12,8,12,19,8,6,4,6,9,13,8,12,18,17,12,14,13,8,6,9,18,12,13,7,9,13,15,13,22,13,10,16,5,17,17,15,10,22,18,10,7,15,11,4,13,9,8,14,11,11,10,8,12,8,9,5,9,14,5,9,5,6,6,4,5,4,1,5,3,1,1,1,2,0,0,0,0,0,,
S01006720,Northfield - 02,Aberdeen City,568,,6,6,8,8,8,12,8,4,8,4,5,5,8,5,3,8,8,3,4,4,9,6,8,10,4,5,10,4,4,5,8,16,11,6,6,3,5,6,8,7,6,11,4,6,5,8,15,6,6,9,8,14,17,3,9,8,10,6,7,6,15,11,6,9,17,9,7,7,5,9,6,4,4,3,1,0,0,5,2,3,1,3,3,3,2,1,0,0,0,0,2,,
S01006721,Northfield - 03,Aberdeen City,942,,11,9,13,12,16,10,18,20,6,13,11,7,11,9,15,12,13,8,13,4,2,7,7,13,12,13,16,13,11,16,18,10,17,11,21,8,17,9,5,15,6,16,10,13,6,10,19,17,12,13,9,12,24,16,10,15,13,18,10,18,17,11,11,8,13,15,5,14,15,11,5,7,4,11,5,4,6,5,2,5,5,5,6,5,0,1,0,1,2,2,2,,
S01006722,Northfield - 04,Aberdeen City,692,,5,15,4,12,6,18,9,5,10,8,3,12,1,5,7,9,19,13,1,4,4,10,3,14,7,10,8,16,11,6,11,13,14,6,8,9,12,13,9,7,3,8,8,6,11,8,4,12,13,2,8,10,15,6,10,8,7,17,17,3,14,12,8,2,10,9,11,13,5,5,9,3,5,8,6,8,3,3,1,6,1,0,4,0,3,3,1,3,0,1,2,,
S01006723,Northfield - 05,Aberdeen City,654,,7,8,11,6,5,9,4,3,11,15,8,5,1,9,7,1,6,3,4,7,11,7,8,3,11,12,9,8,8,7,9,9,13,12,16,7,2,6,14,6,4,8,11,11,10,8,10,6,16,6,13,8,7,14,4,11,5,8,12,12,6,11,8,13,17,6,8,10,10,8,2,7,4,3,3,4,9,5,0,3,2,6,3,3,3,1,1,3,2,0,1,,
S01006724,Northfield - 06,Aberdeen City,987,,14,22,16,17,21,22,18,17,24,19,22,14,15,21,16,21,10,23,18,9,10,13,6,13,20,27,17,22,22,7,2,15,9,20,22,7,16,13,11,13,20,19,12,24,18,6,16,12,11,13,9,15,2,14,9,8,8,13,8,7,7,8,9,8,6,5,4,3,5,8,3,4,4,2,5,3,1,2,1,1,2,1,2,1,1,0,0,1,0,2,0,,
S01006725,Northfield - 07,Aberdeen City,651,,13,5,6,7,7,17,11,9,6,3,4,7,13,5,9,6,3,10,12,8,5,6,5,6,6,15,16,12,12,14,11,5,15,6,9,11,5,6,4,7,6,5,8,10,12,8,13,12,13,6,8,7,10,4,10,2,10,4,15,6,13,9,12,15,5,13,3,7,7,7,7,2,3,4,2,6,1,1,3,2,3,4,0,4,0,2,1,3,2,2,2,,
S01006726,Heathryfold and Middlefield - 01,Aberdeen City,877,,16,13,10,11,16,20,11,10,19,14,6,12,16,9,8,6,17,24,15,17,6,15,7,2,12,26,18,19,10,19,7,2,7,15,22,9,10,13,18,3,16,9,7,27,10,20,20,9,9,13,17,13,8,13,10,12,9,14,15,14,5,5,8,9,11,1,5,1,10,6,6,3,4,6,2,4,4,4,0,0,3,0,0,0,0,0,2,0,0,0,3,,
S01006727,Heathryfold and Middlefield - 02,Aberdeen City,"1,083",,8,10,16,20,20,9,18,17,19,27,11,24,16,16,10,14,13,13,11,4,11,5,10,13,20,17,14,21,11,14,12,18,4,12,23,17,17,22,15,15,15,9,20,16,19,19,6,12,14,12,19,11,12,7,14,13,14,12,9,17,13,7,14,10,13,12,12,3,11,18,7,6,5,6,5,8,4,11,6,3,4,5,5,2,2,4,6,4,1,5,14,,
S01006728,Heathryfold and Middlefield - 03,Aberdeen City,765,,11,16,14,20,8,10,6,13,11,7,8,9,9,9,11,4,8,7,8,4,7,9,7,17,9,10,5,20,6,17,7,23,12,10,18,8,15,7,10,14,9,12,8,8,4,2,11,22,12,9,13,8,18,12,8,4,14,15,8,15,8,9,5,6,7,5,3,7,7,5,8,4,5,9,4,2,5,3,1,3,5,3,1,6,2,0,3,0,1,2,0,,
S01006729,Heathryfold and Middlefield - 04,Aberdeen City,874,,16,16,12,10,18,10,10,14,14,9,13,15,9,10,13,16,5,14,10,9,9,8,12,5,12,23,23,22,5,13,17,21,11,13,13,11,7,11,4,11,11,13,11,13,5,6,15,17,7,13,12,18,11,10,17,10,15,5,9,10,4,8,9,15,7,7,7,9,13,9,6,5,1,4,1,6,3,5,5,4,2,3,2,2,1,3,5,3,1,1,1,,
S01006730,Heathryfold and Middlefield - 05,Aberdeen City,766,,9,13,5,4,10,15,3,9,17,17,10,8,13,2,5,7,10,10,9,2,3,15,8,10,9,17,3,13,6,11,14,18,12,7,16,7,16,10,10,4,11,6,6,14,16,10,10,4,16,11,9,18,11,11,13,18,5,18,14,6,14,16,4,13,2,11,8,7,3,10,9,5,10,3,3,3,6,2,5,2,0,2,2,1,2,2,1,1,0,0,5,,
S01006731,Heathryfold and Middlefield - 06,Aberdeen City,534,,3,3,4,5,3,4,8,5,3,5,3,3,6,2,4,4,7,9,3,3,6,9,8,3,8,10,14,8,2,9,8,11,4,7,10,5,14,8,7,2,5,3,9,6,6,6,7,3,10,8,6,10,9,11,12,7,6,7,14,4,8,12,1,8,7,9,12,7,11,8,11,11,10,4,3,4,2,5,4,1,0,0,1,0,2,0,2,0,0,0,2,,
S01006732,Kingswells - 01,Aberdeen City,"1,089",,3,8,11,7,15,16,18,19,16,18,12,18,14,16,10,15,18,10,7,4,2,5,5,12,34,29,33,24,11,11,4,17,11,8,14,12,15,12,15,22,26,12,10,23,24,9,13,7,10,15,11,20,20,15,21,13,14,19,12,17,8,8,17,12,12,13,15,6,10,5,16,9,6,9,13,5,4,8,5,3,8,5,4,1,4,7,2,0,2,0,10,,
S01006733,Kingswells - 02,Aberdeen City,955,,9,8,16,10,13,13,25,11,28,17,23,17,20,12,21,14,9,18,10,7,10,7,2,4,5,7,3,7,4,6,5,4,5,12,12,9,16,12,20,27,17,13,20,21,20,22,15,16,24,15,30,20,25,15,16,15,18,19,6,10,11,14,5,6,5,5,7,3,5,5,11,2,2,3,2,1,3,10,3,0,1,4,3,3,1,1,0,0,3,0,1,,
S01006734,Kingswells - 03,Aberdeen City,996,,17,9,16,10,11,10,23,15,10,12,19,18,6,8,13,9,7,11,12,5,6,6,7,8,15,16,14,18,12,12,14,8,10,11,9,13,27,16,20,14,21,18,28,15,5,19,13,19,24,10,14,15,14,16,17,15,12,14,13,16,15,7,10,3,5,5,4,5,8,7,10,10,8,5,4,6,5,6,4,3,3,6,6,3,2,5,3,4,2,4,13,,
S01006735,Kingswells - 04,Aberdeen City,578,,3,4,7,3,4,1,5,7,10,4,10,5,8,4,4,1,7,5,3,7,10,5,4,8,3,5,14,2,7,4,12,7,4,2,5,5,4,6,7,4,9,7,7,9,3,3,3,13,8,11,7,8,5,7,3,14,10,8,12,7,11,8,11,13,9,10,9,7,10,7,11,6,4,4,6,8,6,7,4,9,5,3,8,6,2,4,6,5,2,0,3,,
S01006736,Kingswells - 05,Aberdeen City,"1,126",,13,25,16,20,21,27,21,22,21,14,28,19,9,19,14,9,15,12,6,7,3,9,5,16,3,18,5,18,21,20,12,20,24,21,23,16,12,23,35,25,17,38,20,28,27,24,30,14,11,15,23,12,15,10,9,13,16,11,17,16,10,11,7,1,11,7,3,6,5,3,8,4,1,5,3,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,2,,
S01006737,Kingswells - 06,Aberdeen City,905,,19,13,13,12,12,5,11,8,11,10,9,9,9,13,11,11,10,11,6,6,8,1,12,6,7,12,8,14,16,16,16,8,21,5,13,17,19,13,19,9,15,15,10,10,8,12,11,16,15,12,13,7,14,19,16,14,7,12,14,13,22,7,10,11,6,6,10,8,14,9,14,10,5,5,2,10,4,8,5,6,7,5,2,6,2,1,3,2,2,0,1,,
S01006738,Bucksburn South - 01,Aberdeen City,909,,14,12,19,11,11,8,10,5,8,9,5,4,3,3,5,6,2,6,8,5,5,8,4,6,23,16,32,24,24,29,16,23,16,27,23,29,23,9,10,15,9,11,8,12,11,11,18,17,13,19,8,19,18,10,10,12,17,18,15,5,12,12,7,9,2,9,5,3,6,13,7,4,2,3,2,8,1,3,4,2,1,5,1,1,2,1,1,1,2,0,3,,
S01006739,Bucksburn South - 02,Aberdeen City,"1,226",,40,26,16,22,7,14,12,18,12,19,13,8,1,6,10,11,7,4,4,4,5,6,17,18,21,43,38,50,37,26,32,30,43,40,29,32,24,40,31,22,17,28,17,20,8,12,10,12,16,10,11,8,22,12,12,11,8,6,9,8,8,8,11,11,4,9,14,4,4,7,4,2,4,0,7,8,2,3,2,5,2,3,1,0,2,3,0,0,1,1,1,,
S01006740,Bucksburn South - 03,Aberdeen City,766,,7,15,8,7,9,7,9,7,7,6,5,6,9,7,3,7,4,4,2,3,4,9,5,12,15,19,9,5,10,14,17,10,12,14,15,15,10,10,9,13,12,4,10,12,10,5,14,10,10,8,7,8,8,8,13,17,9,13,9,13,12,11,14,13,11,8,12,17,9,13,8,5,0,8,3,2,4,2,6,7,7,7,6,2,4,4,3,2,1,0,6,,
S01006741,Bucksburn South - 04,Aberdeen City,659,,8,3,5,5,7,9,8,3,9,2,3,4,1,7,0,3,1,5,4,3,2,2,2,5,9,8,10,8,12,7,7,7,13,7,7,8,13,6,3,2,12,9,9,6,11,3,7,5,8,5,10,6,6,5,17,5,6,7,11,11,11,10,2,11,9,9,15,10,12,11,16,12,10,11,12,12,6,12,12,5,15,13,11,4,3,7,3,3,0,2,3,,
S01006742,Bucksburn South - 05,Aberdeen City,460,,10,7,9,5,3,1,4,5,6,3,2,6,1,6,3,2,2,6,3,4,6,3,4,4,2,4,10,7,5,2,9,9,8,7,5,10,7,6,4,3,6,1,3,1,9,3,7,5,6,9,4,3,10,5,4,6,7,4,3,7,7,1,10,8,1,2,4,5,7,10,8,7,1,11,8,7,11,3,6,3,4,3,5,6,4,4,0,3,1,0,4,,
S01006743,Bucksburn North - 01,Aberdeen City,728,,11,10,6,9,7,10,6,6,6,6,4,4,5,6,3,6,5,8,3,2,3,7,11,4,13,12,5,16,14,25,8,14,12,20,21,13,15,16,12,10,11,4,7,8,3,9,7,5,10,11,17,9,12,12,8,14,13,16,8,8,10,3,7,11,8,8,2,4,9,9,12,5,10,2,2,9,4,4,2,8,3,5,3,4,3,3,3,4,0,0,5,,
S01006744,Bucksburn North - 02,Aberdeen City,638,,7,4,7,4,5,1,10,2,3,9,4,3,5,6,3,3,5,5,7,7,6,5,7,9,7,10,12,7,13,24,12,13,10,14,13,18,9,6,6,8,5,12,7,6,10,8,15,14,9,10,3,8,11,9,9,10,17,5,9,7,12,8,10,9,11,5,3,7,9,7,9,9,2,7,4,3,4,6,0,4,4,2,2,2,0,0,1,0,0,0,5,,
S01006745,Bucksburn North - 03,Aberdeen City,847,,12,6,9,12,11,7,18,5,10,14,7,9,5,7,10,6,8,7,3,8,10,9,8,5,5,11,13,19,9,14,23,12,10,10,16,9,9,13,10,15,4,11,16,13,8,9,10,16,8,11,15,7,12,16,11,17,12,12,10,9,5,12,12,18,3,8,10,15,10,9,7,5,2,3,8,8,5,6,2,7,7,6,11,11,5,6,5,0,1,2,7,,
S01006746,Bucksburn North - 04,Aberdeen City,832,,8,10,8,7,22,6,18,8,10,13,3,6,1,8,11,16,8,9,6,6,1,4,4,6,11,14,15,16,16,9,7,15,11,16,17,16,10,20,10,9,11,8,9,10,7,8,11,14,9,16,9,16,15,7,16,12,6,7,6,9,7,12,6,12,7,8,6,16,12,6,10,7,3,4,7,4,11,9,3,10,0,8,7,6,8,3,3,3,6,3,8,,
S01006747,Bucksburn North - 05,Aberdeen City,"1,029",,21,14,22,17,14,16,11,8,13,8,6,7,11,5,5,4,4,8,8,8,13,8,7,1,10,7,14,13,15,13,10,19,31,24,18,13,11,20,9,16,9,14,16,4,16,6,13,23,14,15,17,20,9,11,9,9,10,7,11,15,11,11,15,8,12,9,7,14,9,11,16,11,14,11,19,18,9,12,13,6,10,14,6,7,4,7,5,0,2,0,8,,
S01006748,Bucksburn North - 06,Aberdeen City,"1,193",,11,11,12,17,13,10,8,9,11,8,7,7,13,9,14,8,8,7,12,4,10,7,4,10,17,15,23,26,12,17,21,27,17,21,21,16,27,9,18,16,13,13,22,13,22,22,24,14,13,13,16,18,16,21,13,15,11,15,11,18,12,8,8,11,12,15,20,12,14,25,21,16,20,17,10,12,11,12,13,10,9,13,5,3,2,7,2,6,3,1,7,,
S01006749,Dyce - 01,Aberdeen City,883,,18,6,7,5,9,7,10,5,7,10,11,8,5,11,6,9,3,5,7,16,5,15,7,3,12,12,5,15,10,5,11,16,14,13,23,10,15,14,17,7,2,1,13,11,9,10,6,8,9,20,8,18,12,13,18,11,16,11,13,7,12,14,13,14,9,14,15,13,20,15,20,13,5,13,12,7,11,5,4,7,4,7,4,7,2,3,1,0,3,0,6,,
S01006750,Dyce - 02,Aberdeen City,672,,3,7,3,3,3,6,10,6,7,3,7,4,2,4,7,2,5,2,5,8,3,7,9,12,16,7,4,10,12,14,5,15,13,3,8,5,7,7,2,6,8,10,4,13,8,3,11,7,1,11,15,10,4,7,3,10,8,8,7,3,6,9,9,11,8,9,12,11,16,18,21,18,8,12,11,8,10,5,6,6,4,4,4,4,3,4,3,2,3,1,13,,
S01006751,Dyce - 03,Aberdeen City,476,,3,3,6,3,5,4,5,6,8,2,6,2,8,1,3,3,2,7,0,6,4,3,2,3,1,6,9,7,4,11,5,2,8,7,2,9,6,7,4,9,4,5,10,5,4,1,3,5,6,10,6,11,9,7,9,6,9,5,11,8,7,4,5,5,8,11,5,10,4,8,2,3,3,5,8,3,3,4,3,5,3,0,2,4,8,1,3,7,2,0,14,,
S01006752,Dyce - 04,Aberdeen City,709,,3,5,11,3,6,5,7,10,11,8,9,9,6,9,5,7,8,5,7,5,6,6,8,3,10,13,9,9,9,11,14,10,12,3,16,13,12,6,12,5,3,7,4,1,3,7,7,6,9,10,8,17,8,16,3,13,14,8,5,8,4,8,9,8,13,9,13,7,10,17,5,10,13,5,8,6,11,10,10,4,2,6,10,6,6,4,4,0,1,0,7,,
S01006753,Dyce - 05,Aberdeen City,868,,6,7,7,12,8,3,10,10,13,15,10,7,4,11,3,8,10,9,2,6,6,10,8,8,9,24,22,14,6,7,9,11,12,14,7,6,17,5,10,12,7,8,10,5,15,9,9,13,13,25,3,14,10,15,17,10,7,12,1,10,6,6,11,13,18,12,9,5,9,10,15,7,19,16,12,20,11,15,15,3,2,5,8,8,2,4,3,5,1,2,5,,
S01006754,Dyce - 06,Aberdeen City,841,,2,9,3,12,7,4,8,5,7,3,5,7,8,2,8,6,7,4,8,4,4,4,7,8,10,14,14,5,5,6,11,5,1,14,9,11,7,7,11,4,12,7,12,12,15,11,11,12,9,10,16,13,19,20,15,5,11,8,14,12,4,10,8,10,9,14,13,22,18,16,23,20,10,14,18,13,16,12,15,10,13,7,9,2,3,0,3,1,3,1,4,,
S01006755,Dyce - 07,Aberdeen City,812,,11,11,8,14,8,18,6,14,16,14,12,9,8,7,13,13,7,16,4,7,6,3,5,8,6,13,16,12,9,6,7,12,14,14,23,17,13,19,16,7,9,7,6,23,13,18,15,12,8,18,14,16,9,11,11,10,8,18,12,4,17,6,6,8,7,6,3,8,6,8,5,4,5,1,5,7,1,3,4,4,0,4,3,1,1,1,0,1,1,0,2,,
S01006756,Danestone - 01,Aberdeen City,774,,15,9,9,11,8,11,7,20,7,7,8,12,11,9,5,4,6,7,7,3,3,9,6,12,12,15,20,19,18,13,11,29,16,16,12,26,24,30,11,20,7,12,10,9,7,12,9,7,11,8,8,9,4,11,5,3,7,4,10,1,4,7,8,4,4,5,1,1,0,5,6,3,1,2,1,2,3,3,5,4,5,4,2,2,4,11,5,2,1,1,16,,
S01006757,Danestone - 02,Aberdeen City,920,,12,7,0,3,6,8,8,8,9,2,6,12,10,3,6,4,6,5,9,3,6,3,7,9,14,15,13,14,13,16,13,23,15,8,12,10,8,20,7,11,11,14,11,9,12,14,6,10,9,13,9,12,12,12,12,19,15,16,13,13,15,19,16,7,11,14,6,3,5,9,7,9,8,8,7,6,6,6,9,11,10,11,9,11,7,16,9,10,7,6,36,,
S01006758,Danestone - 03,Aberdeen City,663,,5,10,5,4,4,4,3,3,3,18,3,2,1,6,6,7,4,3,5,1,4,5,6,4,14,17,9,12,8,11,4,6,10,11,11,3,14,7,2,8,6,10,5,11,8,13,9,5,15,7,9,20,9,14,9,12,14,12,11,12,11,6,8,11,14,13,11,14,10,13,11,6,5,6,5,3,4,7,5,2,4,3,6,3,1,0,2,0,0,0,5,,
S01006759,Danestone - 04,Aberdeen City,592,,3,8,2,5,3,4,5,3,5,14,3,2,5,12,8,3,12,6,11,2,3,5,4,10,8,6,9,12,2,8,8,7,8,4,7,7,14,1,10,5,7,3,12,4,7,6,3,12,14,14,9,9,17,6,7,12,9,9,8,11,8,7,8,8,7,10,8,8,12,11,10,5,8,4,4,4,2,9,1,7,7,1,2,1,1,1,0,2,2,0,1,,
S01006760,Danestone - 05,Aberdeen City,439,,3,4,4,3,8,7,4,5,5,4,1,2,0,3,0,3,5,2,3,1,3,4,2,4,4,6,10,4,13,5,6,11,6,12,8,6,14,3,15,6,5,6,8,9,2,5,8,1,7,5,3,2,5,5,7,14,12,8,6,7,7,6,5,5,9,7,5,6,5,4,6,6,5,2,3,2,3,2,0,0,3,2,3,2,1,0,3,0,0,1,2,,
S01006761,Danestone - 06,Aberdeen City,674,,6,2,3,7,8,9,3,3,2,0,1,1,3,1,4,4,5,7,2,2,6,7,4,4,8,7,20,9,7,14,5,10,9,5,3,9,12,6,8,9,1,6,5,3,6,2,4,6,11,8,5,12,9,14,9,10,18,19,12,12,15,10,18,15,12,12,16,17,15,15,13,7,11,10,7,4,17,5,10,9,4,6,3,5,5,0,2,0,1,1,2,,
S01006762,Oldmachar West - 01,Aberdeen City,"1,061",,8,9,8,13,7,7,12,13,11,10,17,7,4,11,6,13,14,6,8,5,5,5,5,4,11,8,5,3,13,6,3,9,12,11,8,20,14,15,16,12,5,10,12,15,6,11,20,14,19,8,19,10,6,15,11,18,13,13,18,23,17,17,26,22,28,21,15,19,17,24,15,17,11,9,16,13,12,8,8,15,10,5,10,15,9,4,7,6,7,7,11,,
S01006763,Oldmachar West - 02,Aberdeen City,840,,14,10,14,17,13,18,17,14,8,15,9,7,10,4,7,6,9,10,6,8,8,8,2,12,15,28,22,15,17,11,10,15,15,15,23,19,14,13,6,20,7,28,10,4,17,19,13,16,17,21,11,10,11,10,12,9,9,10,11,10,9,11,8,7,3,7,8,3,1,5,4,1,0,0,2,2,1,4,1,0,0,1,0,0,1,0,0,0,1,0,1,,
S01006764,Oldmachar West - 03,Aberdeen City,708,,14,5,3,4,5,6,6,5,8,11,1,5,4,4,5,6,7,5,2,7,4,7,9,8,11,11,8,12,20,20,11,10,12,17,18,15,4,7,11,16,13,6,4,11,12,13,9,4,8,5,6,8,20,12,15,12,16,20,17,16,17,9,11,12,5,7,14,14,9,6,4,3,7,3,3,2,1,2,1,3,1,0,0,0,0,0,1,1,0,1,0,,
S01006765,Oldmachar West - 04,Aberdeen City,536,,5,8,5,4,8,5,7,4,5,7,4,5,3,6,2,3,3,4,2,2,6,7,3,8,1,10,21,13,13,5,7,13,10,6,12,10,10,11,8,9,2,0,7,7,5,2,18,4,4,12,13,9,6,9,13,6,13,11,12,16,13,6,3,8,1,8,0,5,7,6,9,5,3,1,3,2,3,1,0,2,0,1,1,2,0,0,0,0,0,0,2,,
S01006766,Oldmachar West - 05,Aberdeen City,593,,5,11,5,6,3,6,3,3,3,7,7,8,3,1,7,7,6,5,8,5,10,5,5,8,3,8,4,18,7,14,12,5,18,8,10,8,9,9,5,12,11,6,8,7,7,7,5,8,8,10,14,14,11,7,9,13,6,6,11,8,10,17,11,9,9,12,5,7,10,6,2,4,5,0,4,3,1,4,0,3,0,0,0,0,0,3,0,2,1,0,2,,
S01006767,Oldmachar West - 06,Aberdeen City,654,,6,6,6,5,6,4,6,4,10,3,8,7,4,3,4,6,5,6,5,4,9,1,6,5,8,7,12,10,10,6,4,5,10,12,5,12,14,6,7,13,1,7,6,4,10,14,11,10,12,6,13,11,14,8,13,3,15,3,11,16,10,6,15,9,10,10,11,11,8,11,11,13,5,9,2,3,6,7,6,6,2,3,3,3,3,4,3,0,1,0,5,,
S01006768,Oldmachar East - 01,Aberdeen City,620,,3,5,4,6,12,11,7,3,8,4,5,4,8,8,9,7,3,4,8,5,14,5,9,8,5,9,8,10,6,2,1,3,0,2,5,7,8,3,11,11,15,18,6,5,10,7,5,10,7,8,18,19,14,13,14,5,6,13,11,10,5,6,8,14,18,8,11,7,7,12,10,8,5,4,4,3,2,1,4,4,1,2,3,2,0,0,2,1,2,0,1,,
S01006769,Oldmachar East - 02,Aberdeen City,922,,7,8,8,7,4,8,16,13,11,9,10,9,9,12,15,16,9,4,6,6,18,0,4,8,9,9,11,12,14,9,4,12,21,19,8,16,19,13,17,9,13,21,13,8,11,10,9,8,16,10,10,8,12,20,14,11,17,15,10,11,10,14,10,19,12,13,9,17,10,13,21,15,16,9,7,7,9,2,6,13,5,1,1,4,0,5,1,2,0,0,5,,
S01006770,Oldmachar East - 03,Aberdeen City,593,,5,4,12,3,9,1,7,8,5,5,8,11,3,3,6,10,0,7,1,3,2,0,5,5,6,3,15,3,4,4,6,10,6,9,6,6,12,3,1,7,9,7,2,7,5,6,5,3,5,2,5,2,5,12,8,9,13,3,14,14,9,17,15,19,17,10,11,10,9,15,14,7,8,9,7,6,4,4,8,8,7,7,3,1,2,1,1,1,1,1,1,,
S01006771,Oldmachar East - 04,Aberdeen City,435,,6,5,6,4,6,6,3,5,6,7,8,3,5,4,1,1,7,3,5,3,5,5,5,3,8,14,4,10,3,6,0,6,5,4,7,11,11,10,1,6,6,3,1,3,5,4,4,5,8,9,7,7,5,5,10,9,7,5,8,7,6,5,8,5,7,8,3,9,6,8,7,4,4,3,1,3,2,0,2,1,2,2,0,0,3,0,0,0,0,0,0,,
S01006772,Oldmachar East - 05,Aberdeen City,852,,5,3,7,11,6,9,6,3,10,6,11,2,9,9,5,9,8,5,12,1,6,5,5,9,14,22,8,18,6,17,8,9,16,14,4,12,10,10,14,5,11,15,11,18,13,13,19,7,16,5,12,8,21,16,15,15,7,13,8,15,18,17,10,13,16,11,11,15,10,24,13,3,4,8,8,4,3,9,8,5,2,3,6,6,2,2,4,1,6,3,0,,
S01006773,Oldmachar East - 06,Aberdeen City,875,,13,11,14,12,12,7,3,8,10,8,7,7,8,6,4,9,5,9,4,8,6,9,10,7,11,15,13,17,17,17,18,16,13,12,9,9,12,9,7,14,6,6,10,11,10,4,17,8,9,13,7,12,12,8,14,10,6,10,10,19,15,12,7,10,8,13,6,11,20,8,15,13,6,5,4,6,0,4,9,6,6,7,4,7,7,6,4,10,7,6,25,,
S01006774,Oldmachar East - 07,Aberdeen City,603,,2,1,5,5,6,5,5,6,6,3,8,7,5,4,12,6,10,6,2,5,0,3,6,9,3,12,6,4,13,9,9,4,7,6,4,9,5,5,10,9,9,5,3,8,7,12,3,8,14,12,14,6,10,11,8,11,9,12,12,19,10,20,6,15,11,11,10,10,12,11,12,8,5,6,6,2,1,2,2,2,1,1,0,0,0,1,0,1,0,0,2,,
S01006775,Balgownie and Donmouth West - 01,Aberdeen City,717,,9,8,9,6,11,8,4,7,4,7,6,5,6,6,2,1,3,3,4,6,4,4,6,17,11,19,15,20,16,13,18,14,27,15,16,16,14,8,8,8,10,9,4,0,10,10,9,11,13,10,14,7,12,7,6,8,16,13,10,7,4,8,10,10,4,6,7,7,8,5,5,10,5,1,7,9,4,5,8,4,1,3,3,1,1,3,0,1,3,2,2,,
S01006776,Balgownie and Donmouth West - 02,Aberdeen City,513,,4,2,9,6,11,7,1,3,5,8,1,0,3,6,3,1,4,3,0,4,3,0,1,11,6,8,1,0,9,4,10,13,6,1,4,4,8,8,2,2,2,8,7,1,11,3,5,2,8,6,8,9,11,4,6,5,5,5,11,5,14,1,7,7,9,8,6,5,13,12,12,7,7,5,6,6,4,4,5,4,8,5,4,6,5,1,3,5,9,6,15,,
S01006777,Balgownie and Donmouth West - 03,Aberdeen City,650,,2,6,4,4,12,4,10,7,7,5,7,2,2,12,3,9,8,4,7,4,5,3,2,9,1,3,7,2,2,9,4,13,1,5,7,8,7,10,6,9,5,7,9,3,0,10,7,13,9,7,6,8,10,15,8,7,9,6,14,11,11,9,13,14,11,12,16,15,20,21,24,14,12,5,12,9,6,3,5,6,1,4,3,2,2,0,0,1,0,1,2,,
S01006778,Balgownie and Donmouth West - 04,Aberdeen City,597,,4,10,5,6,3,3,1,4,3,6,3,4,8,8,1,6,7,4,4,2,3,5,4,8,5,13,10,9,8,6,10,3,9,14,10,8,10,5,9,13,4,6,4,8,5,9,6,1,2,6,6,10,2,12,2,11,11,10,12,8,8,12,12,7,9,7,9,10,13,13,11,12,13,11,6,7,4,8,5,8,5,2,3,1,3,2,0,2,2,2,1,,
S01006779,Balgownie and Donmouth West - 05,Aberdeen City,589,,6,10,7,5,9,6,5,0,9,9,11,8,4,6,7,5,6,4,2,4,7,3,1,9,9,13,14,12,9,5,18,10,7,11,8,5,9,7,3,3,8,4,10,8,7,4,3,7,8,8,8,15,11,12,11,3,15,3,7,3,8,7,12,4,8,9,5,2,8,11,7,2,6,2,4,6,5,7,4,1,6,2,5,2,1,1,1,2,0,1,9,,
S01006780,Balgownie and Donmouth West - 06,Aberdeen City,566,,6,5,1,4,6,4,5,7,3,5,5,5,5,6,6,12,5,8,1,4,5,7,5,5,8,13,6,13,6,5,11,8,10,7,12,6,6,8,10,6,7,6,3,4,4,8,8,6,5,8,5,6,7,6,5,9,5,8,9,7,9,9,13,9,13,6,9,12,8,9,13,8,7,0,5,7,6,6,0,6,5,3,5,2,2,2,1,3,0,1,1,,
