"","LSOA11","bA_DI_2018","bA_PT_2018","bA_HE_2018","bA_OT_2018","bA_ED_2018","bB_DI_2018","bB_PT_2018","bB_HE_2018","bB_OT_2018","bB_ED_2018","bC_DI_2018","bC_PT_2018","bC_HE_2018","bC_OT_2018","bC_ED_2018","bD_DI_2018","bD_PT_2018","bD_HE_2018","bD_OT_2018","bD_ED_2018","bE_DI_2018","bE_PT_2018","bE_HE_2018","bE_OT_2018","bE_ED_2018","bF_DI_2018","bF_PT_2018","bF_HE_2018","bF_OT_2018","bF_ED_2018","bG_DI_2018","bG_PT_2018","bG_HE_2018","bG_OT_2018","bG_ED_2018","bH_DI_2018","bH_PT_2018","bH_HE_2018","bH_OT_2018","bH_ED_2018","bI_DI_2018","bI_PT_2018","bI_HE_2018","bI_OT_2018","bI_ED_2018","bJ_DI_2018","bJ_PT_2018","bJ_HE_2018","bJ_OT_2018","bJ_ED_2018","bK_DI_2018","bK_PT_2018","bK_HE_2018","bK_OT_2018","bK_ED_2018","bL_DI_2018","bL_PT_2018","bL_HE_2018","bL_OT_2018","bL_ED_2018","bM_DI_2018","bM_PT_2018","bM_HE_2018","bM_OT_2018","bM_ED_2018","Unknown_DI_2018","Unknown_PT_2018","Unknown_HE_2018","Unknown_OT_2018","Unknown_ED_2018","AllCars_DI_2018","AllCars_PT_2018","AllCars_HE_2018","AllCars_OT_2018","AllCars_ED_2018","AvgCO2_DI_2018","AvgCO2_PT_2018","AvgCO2_HE_2018","AvgCO2_OT_2018","AvgCO2_ED_2018","AvgAge_DI_2018","AvgAge_PT_2018","AvgAge_HE_2018","AvgAge_OT_2018","AvgAge_ED_2018"
"254","E01030752",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,13,0,0,13,15,6,0,0,29,30,4,0,0,68,93,2,0,1,57,120,0,0,0,34,98,0,0,0,24,65,0,0,0,11,25,0,0,0,7,12,0,0,0,6,9,0,0,0,2,40,0,1,0,253,507,27,2,1,143.270916334661,152.220556745182,88.7037037037037,0,119,8.17659,10.58867,4.717519,9.789185,4.993839
"255","E01030755",0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,2,0,6,0,0,19,32,5,0,1,36,38,3,0,1,70,127,1,0,0,83,163,0,0,0,44,120,0,0,0,15,72,0,0,0,18,30,0,0,0,8,15,0,0,0,5,11,0,0,0,3,59,0,3,0,303,667,20,5,2,141.823333333333,149.419407894737,84.2,0,103,7.436797,9.85808,4.423408,12.985078,3.548254
"256","E01030751",0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,6,0,1,0,0,11,23,2,0,0,15,37,2,0,0,66,106,0,0,0,45,152,2,0,0,33,93,0,0,0,18,51,0,0,0,13,31,2,1,0,7,12,0,0,0,5,7,0,1,0,4,51,0,1,0,223,563,13,4,0,145.246575342466,147.97265625,104.230769230769,175,NA,7.859423,10.229742,6.720791,12.519506,NA
"257","E01030736",0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,1,0,8,0,0,15,27,7,0,1,27,43,4,0,0,66,103,7,0,0,54,109,0,0,0,46,95,0,1,0,20,71,0,0,0,18,48,0,0,0,5,23,0,0,0,4,11,0,1,0,8,39,1,0,0,264,569,38,5,1,144.5,154.28679245283,82.4864864864865,92.6,100,7.87284,10.444084,3.709604,8.636276,2.006844
"258","E01030988",0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,1,0,4,0,0,12,25,8,0,0,28,38,1,0,0,86,121,4,0,0,79,139,3,0,0,60,87,0,0,0,40,61,0,0,0,21,49,2,0,0,4,19,0,0,0,3,22,0,0,0,5,60,0,3,0,339,621,29,6,0,145.074850299401,154.591800356506,94.2068965517241,0,NA,7.559157,10.23018,4.910004,11.63769,NA
"259","E01030989",0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,2,0,6,0,0,13,18,13,0,1,32,57,3,0,0,74,103,2,1,0,90,121,2,1,0,60,75,0,0,0,32,68,0,0,0,19,57,2,0,0,8,18,0,0,0,3,10,0,0,0,3,66,0,0,0,336,593,33,5,1,145.840840840841,153.521821631879,92.6363636363636,50.8,91,7.102221,10.141758,4.901265,5.783435,6.212183
"260","E01030443",0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,10,16,1,0,0,18,35,0,0,0,52,125,0,0,1,89,116,0,0,0,67,87,0,0,0,41,61,0,0,0,20,55,1,0,0,14,20,0,0,0,4,29,0,0,0,4,59,0,1,0,323,603,12,2,1,152.94670846395,159.099264705882,68.6666666666667,0,119,6.588065,10.325514,3.646132,12.825461,6.047912
"261","E01030442",0,0,0,5,0,0,0,7,0,0,0,0,2,0,0,1,0,2,0,0,13,25,6,0,0,27,44,2,0,0,73,158,5,0,0,91,139,5,0,0,71,87,0,0,0,56,85,0,0,0,51,69,1,0,0,23,27,0,0,0,11,48,0,0,0,3,86,0,3,0,420,768,30,8,0,159.73860911271,163.071847507331,95.5,0,NA,6.232635,10.056118,4.163357,9.541751,NA
"262","E01030445",0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,6,27,3,0,0,25,45,1,0,0,64,132,2,0,0,74,134,3,0,0,74,98,0,0,0,42,69,0,0,0,33,55,0,0,0,12,23,0,0,0,9,22,0,0,0,4,64,0,1,0,344,669,13,3,0,155.888235294118,155.352066115702,97.1538461538462,0,NA,7.252263,10.578684,3.616911,7.98996,NA
"263","E01030374",0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2,4,0,0,18,36,0,0,1,24,56,5,0,1,71,147,2,0,0,67,143,1,0,0,60,109,0,0,0,32,51,0,0,0,30,37,2,0,0,12,27,0,0,0,6,32,0,0,0,3,61,0,0,0,323,701,22,2,2,151.0625,153.39375,88.1818181818182,0,101,6.403366,9.188321,4.882334,1.493497,4.728268
"264","E01030763",0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,2,0,4,0,0,17,18,2,0,0,20,33,2,0,0,75,104,4,0,0,66,104,4,0,0,51,78,0,0,0,26,45,0,0,0,38,50,0,0,0,23,27,0,0,0,17,27,0,0,0,3,78,0,1,0,338,564,22,5,0,159.077611940299,161.845679012346,96.8636363636364,0,NA,7.378531,11.583101,4.255615,5.848048,NA
"265","E01030311",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,7,21,3,0,0,18,54,3,0,0,52,110,0,0,0,68,147,2,0,0,38,109,0,0,0,26,66,0,0,0,19,49,2,0,0,4,18,0,1,0,3,11,0,0,0,9,71,0,0,0,245,656,13,2,0,147.707627118644,153.167521367521,114.769230769231,115,NA,8.160493,11.368918,7.43179,9.73169,NA
"266","E01030310",0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,5,0,2,0,0,7,28,8,0,0,22,55,2,0,0,68,110,3,0,0,60,133,2,0,0,52,113,0,0,0,38,62,0,0,0,20,53,0,0,0,11,17,0,0,0,2,28,0,0,0,5,58,0,0,0,290,657,19,4,0,149.112280701754,156.238731218698,95.7894736842105,0,NA,6.936121,9.687692,4.727403,1.753593,NA
"267","E01030359",0,0,0,1,0,0,0,7,0,0,0,0,2,0,0,5,0,2,0,0,17,32,9,0,0,26,58,8,0,0,99,150,3,0,0,92,189,0,0,0,60,114,0,0,0,32,73,0,0,0,26,62,2,0,0,8,15,0,0,0,3,20,0,0,0,4,59,0,0,0,372,772,33,1,0,143.940217391304,150.833099579243,91.2424242424242,0,NA,7.259697,9.643924,5.882396,2.997946,NA
"268","E01030358",0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,1,0,2,0,0,10,21,4,0,0,12,47,1,0,0,52,89,1,0,0,63,123,0,0,0,36,90,0,0,0,20,61,0,0,0,18,47,2,0,0,7,23,0,0,0,0,16,0,0,0,3,56,0,0,0,222,573,15,2,0,146.388127853881,155.68665377176,95.2666666666667,0,NA,8.008782,11.080831,5.358521,2.027378,NA
"269","E01030297",0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,3,0,7,0,0,13,34,6,0,0,19,72,2,0,0,66,179,4,0,1,97,179,3,0,0,65,106,0,0,0,34,80,0,0,0,32,34,3,0,0,12,27,0,0,0,6,29,0,0,0,2,64,0,0,0,349,804,28,5,1,152.527377521614,151.337837837838,108.178571428571,0,114,7.028345,9.014268,4.487337,2.113072,3.805612
"270","E01030296",0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,3,0,7,0,0,13,21,4,0,0,21,57,8,0,0,72,148,4,0,0,85,194,1,0,0,59,119,0,0,0,41,60,0,0,0,31,78,1,0,0,19,35,0,0,0,9,28,0,0,0,3,73,0,1,0,356,813,29,11,0,155.016997167139,157.159459459459,95.9310344827586,0,NA,6.359034,10.087765,4.608557,4.271046,NA
"271","E01002605",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,4,0,0,13,18,12,0,0,21,24,6,0,1,51,69,4,0,0,70,117,2,0,0,46,99,0,0,0,18,60,0,1,0,15,57,0,0,0,16,12,0,0,0,5,5,0,1,0,6,41,1,0,0,263,502,32,2,1,150.097276264591,156.177874186551,96.3225806451613,228,107,9.051375,11.275851,5.068044,14.750171,6.551676
"272","E01030993",0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,58,0,5,0,0,66,26,2,0,0,46,43,7,0,0,80,136,0,0,0,77,157,0,0,0,49,126,0,0,0,30,76,0,0,0,16,44,0,0,0,6,18,0,0,0,1,15,0,0,0,3,60,1,1,0,432,701,18,2,0,128.298368298368,152.040561622465,88.0588235294118,0,NA,6.798013,9.923274,6.551676,11.290896,NA
"273","E01030341",0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,9,0,0,7,21,5,0,0,31,58,4,0,0,85,148,5,0,0,109,158,1,0,0,64,108,0,0,0,53,80,0,0,0,37,67,2,0,0,8,24,0,1,0,5,40,0,0,0,4,64,0,0,0,404,768,28,6,0,151.0075,158.350852272727,101.428571428571,42.1666666666667,NA,6.220017,9.302065,4.468465,3.539127,NA
"274","E01030340",0,0,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,9,18,3,0,0,20,45,4,0,0,57,125,2,0,0,76,132,4,0,0,56,86,0,0,0,35,57,0,0,0,16,53,0,0,0,5,19,0,0,0,1,21,0,1,0,1,51,0,2,0,276,607,19,8,0,147.469090909091,154.260791366906,97.3684210526316,62.6666666666667,NA,6.461605,9.410078,5.460859,9.023613,NA
"275","E01030343",0,0,0,4,0,0,0,9,0,0,0,0,5,0,0,1,0,4,0,0,6,19,1,0,0,22,44,3,0,0,51,146,4,0,0,82,143,3,0,0,75,104,0,0,0,47,59,0,0,0,51,67,1,0,0,19,32,0,0,0,4,42,0,0,0,5,94,0,1,0,363,750,30,5,0,160.530726256983,161.239329268293,85.5,0,NA,6.814917,10.347153,3.886104,5.291169,NA
"276","E01030342",0,0,0,16,0,0,0,12,0,0,0,0,5,0,0,3,2,1,0,1,9,24,6,0,0,20,54,2,0,0,48,149,8,0,1,70,117,6,0,0,102,97,1,0,0,75,71,0,0,0,73,90,3,0,0,34,45,0,0,0,13,137,0,0,0,1,99,1,1,0,448,885,45,17,2,169.152125279642,182.408396946565,97.5909090909091,0,99,5.560788,9.402076,4.007777,3.41571,2.58453
"277","E01030345",0,0,0,5,0,0,0,5,0,0,0,0,2,0,0,0,0,5,0,0,10,24,6,0,0,31,35,3,0,0,52,125,5,0,0,82,124,1,0,0,54,97,0,0,0,44,50,0,0,0,42,53,4,0,0,29,28,0,0,0,14,48,0,0,0,8,58,0,2,0,366,642,31,7,0,162.779329608939,165.095890410959,98.1612903225806,0,NA,6.965862,9.913256,4.648428,8.7709,NA
"278","E01030344",0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,1,1,1,0,0,6,18,1,0,0,22,44,2,0,0,55,97,3,0,0,70,102,4,0,0,95,69,0,0,0,44,46,0,0,0,62,70,1,0,0,35,33,0,0,0,10,60,0,0,0,4,58,0,1,0,404,598,20,6,0,166.5275,171.601851851852,92.7,0,NA,6.158225,9.046436,3.676796,3.547706,NA
"279","E01030368",0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,6,24,5,0,0,29,54,3,0,0,61,130,1,0,0,81,156,3,0,0,62,92,0,1,0,21,71,0,0,0,23,42,1,0,0,11,13,0,0,0,1,13,0,0,0,3,57,0,1,0,300,652,18,5,0,148.060606060606,149.699159663866,101,37.75,NA,7.187706,10.252788,5.97764,9.185489,NA
"280","E01030361",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,16,23,4,0,0,33,65,2,0,0,78,153,2,0,0,86,187,1,0,0,51,138,0,0,0,28,80,0,0,0,24,60,0,0,0,5,21,0,0,0,10,21,0,0,0,4,86,0,0,0,338,834,10,2,0,146.59880239521,152.510695187166,102.2,0,NA,8.007284,10.847015,4.548664,2.974674,NA
"281","E01030369",0,0,0,6,0,1,0,4,0,0,0,0,0,0,0,4,1,3,0,0,9,23,4,0,0,29,70,1,0,0,64,178,4,0,0,110,166,8,0,0,79,113,0,0,0,48,61,1,0,0,44,74,2,0,0,22,36,0,0,0,13,41,0,0,0,0,92,0,0,0,423,855,27,6,0,158.212765957447,157.673656618611,115.703703703704,0,NA,6.730465,10.155446,5.397114,3.766369,NA
"282","E01031001",0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,1,2,6,0,0,9,20,6,0,0,23,54,5,0,1,75,119,2,0,0,77,124,3,0,0,45,98,0,0,0,36,67,0,0,0,17,50,2,0,0,6,23,0,0,0,6,21,0,0,0,3,62,0,1,0,298,640,31,4,1,147.406779661017,155.314878892734,98.2903225806452,0,104,7.190858,9.928484,4.821266,7.105406,3.895961
"283","E01030306",0,0,0,5,0,0,0,7,0,0,0,0,5,0,0,0,1,3,0,0,2,25,0,0,0,23,40,0,0,0,47,97,5,0,0,64,109,4,0,0,75,62,0,0,0,50,67,0,0,0,57,66,2,0,0,21,33,0,0,0,9,73,0,0,0,2,75,0,0,0,350,648,26,5,0,165.086206896552,174.361256544503,93.9230769230769,0,NA,6.062891,9.153119,3.435686,1.665707,NA
"284","E01030307",0,0,0,8,0,0,0,11,0,0,0,0,4,0,0,1,2,5,0,0,5,34,8,0,0,19,65,0,0,0,45,156,4,0,1,87,153,4,0,0,79,90,0,0,0,59,52,0,0,0,56,66,1,0,0,28,38,0,0,0,8,60,0,1,0,3,67,0,2,0,390,783,37,11,1,165.397932816537,161.980446927374,82.4324324324324,29,119,6.411063,8.418876,4.348446,6.769957,5.645448
"285","E01030304",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,18,23,2,0,0,59,33,0,0,0,84,95,1,0,0,76,147,0,0,0,45,104,0,0,0,30,65,0,0,0,16,36,1,0,0,9,12,0,0,0,3,13,0,0,0,4,45,0,0,0,347,574,8,0,0,140.151603498542,152.230623818526,81.875,NA,NA,7.066123,10.217677,4.008555,NA,NA
"286","E01030744",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,3,0,0,10,14,3,0,0,20,26,1,0,1,57,75,1,0,0,42,129,1,0,0,38,97,0,0,0,18,47,0,0,0,10,41,0,0,0,5,9,0,0,0,0,2,0,0,0,4,41,0,0,0,209,481,11,0,1,140.541463414634,151.106818181818,93.4545454545455,NA,104,8.431197,11.528018,5.190417,NA,3.895961
"287","E01030707",0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,3,0,2,0,0,22,24,3,0,0,31,41,6,0,0,91,123,0,0,0,81,146,0,0,0,57,114,0,1,0,26,59,0,0,0,21,42,0,0,0,9,17,0,0,0,2,14,0,1,0,6,45,0,0,0,349,625,18,4,0,142.30612244898,150.956896551724,86.7777777777778,115,NA,7.970654,9.791528,4.980302,9.076659,NA
"288","E01030706",0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,9,37,2,0,0,24,56,2,0,0,61,116,1,0,0,68,132,0,0,0,42,113,0,0,0,18,54,0,0,0,15,43,0,1,0,10,12,0,0,0,3,11,0,0,0,7,39,0,0,0,258,614,9,5,0,146.266932270916,148.784347826087,87.8888888888889,38.8,NA,8.526977,9.867883,5.645105,5.710609,NA
"289","E01030305",0,0,0,5,0,0,0,6,0,0,0,0,5,0,0,2,0,9,0,0,6,29,1,0,0,23,44,1,0,0,63,113,1,0,0,87,102,3,0,0,83,74,1,0,0,69,50,1,0,0,55,60,2,0,0,24,37,0,1,0,9,66,0,0,0,3,70,0,0,0,424,645,30,6,0,162.667458432304,170.972173913043,92.8333333333333,38.6666666666667,NA,5.702929,9.327972,4.440245,4.048824,NA
"290","E01030302",0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,1,0,2,0,1,10,24,7,0,0,19,41,3,0,0,68,154,4,0,0,80,165,0,0,0,78,103,1,0,1,60,67,0,0,0,24,74,2,0,0,19,33,0,0,0,9,34,0,0,0,5,82,0,1,0,373,777,24,5,2,157.695652173913,159.279136690647,98.7916666666667,0,121,6.710346,9.572267,4.898242,6.339219,2.477754
"291","E01030303",0,0,0,8,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,11,21,2,0,0,18,45,2,0,0,52,142,4,0,1,99,146,6,0,0,83,83,0,0,0,67,62,0,0,0,48,70,1,0,0,30,37,0,1,0,6,70,0,0,0,3,89,0,0,0,417,765,19,9,1,162.74154589372,168.344674556213,114.157894736842,25.8888888888889,119,5.848127,9.48573,5.13808,3.503231,5.760438
"292","E01030300",0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,8,28,2,0,0,26,35,2,0,0,53,93,0,0,0,69,123,0,0,0,49,90,0,0,0,18,62,1,0,0,25,47,1,1,0,10,17,0,0,0,5,14,0,0,0,2,50,0,1,0,267,559,7,5,0,150.162264150943,154.493123772102,122.142857142857,50.5,NA,7.993375,10.602265,7.823994,8.838329,NA
"293","E01030301",0,0,0,6,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,10,20,3,0,0,17,35,6,0,0,66,126,3,0,0,77,121,4,0,0,54,93,0,0,0,37,64,0,0,0,41,50,5,0,0,22,24,0,0,0,9,48,0,0,0,4,65,0,5,0,338,646,28,11,0,159.580838323353,167.084337349398,108.964285714286,0,NA,6.521859,9.580469,5.310647,11.918859,NA
"294","E01030991",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,3,0,0,9,28,3,0,0,23,47,5,0,0,49,114,2,0,0,52,143,1,0,0,44,110,0,0,0,27,59,0,0,0,10,46,0,0,0,3,15,0,0,0,2,9,0,0,0,4,43,0,1,0,225,614,15,3,0,144.294117647059,149.821366024518,100.266666666667,0.5,NA,8.296689,10.088742,5.314363,3.223819,NA
"295","E01030694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,8,21,2,0,0,20,22,2,0,0,47,105,3,0,0,48,143,2,0,0,44,64,0,0,0,17,60,0,0,0,14,33,0,0,0,7,14,0,1,0,1,17,0,0,0,6,50,0,0,0,215,529,10,1,0,145.822966507177,153.866388308977,111.1,248,NA,8.792696,10.672084,4.697603,14.157426,NA
"296","E01030376",0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,4,2,3,0,0,4,10,4,0,0,10,39,5,0,1,48,89,1,0,0,57,91,0,0,0,46,70,0,0,0,28,34,0,0,0,27,53,1,0,0,4,29,0,0,0,3,33,0,0,0,4,48,0,2,0,235,498,17,5,1,152.805194805195,166.262222222222,94.8235294117647,0,106,6.50307,9.697589,6.211377,10.242299,3.019849
"297","E01030656",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,4,0,0,15,11,3,0,0,22,37,2,0,0,56,94,1,0,0,53,116,0,0,0,41,88,0,0,0,24,67,0,0,0,17,54,0,0,0,14,19,0,0,0,10,17,0,0,0,8,51,0,0,0,262,554,13,0,0,152.236220472441,159.047713717694,86.5384615384615,NA,NA,8.313368,10.751,5.905333,NA,NA
"298","E01030308",0,0,0,9,0,0,0,6,0,0,0,0,3,0,0,2,0,2,0,0,8,19,3,0,0,23,57,2,0,0,68,144,6,0,1,88,127,3,0,0,69,89,0,0,0,61,52,1,0,0,50,50,2,0,0,22,30,0,0,0,21,48,0,0,0,2,78,0,3,0,414,694,28,12,1,164.242718446602,160.941558441558,102.035714285714,0,114,6.102199,9.5761,4.176884,7.201687,4.112251
"299","E01002607",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,3,0,0,8,15,12,0,0,17,32,6,0,0,56,77,4,0,1,80,132,0,0,0,65,98,0,1,0,23,66,0,1,0,26,34,0,0,0,6,17,0,0,0,9,13,0,1,0,6,46,0,0,0,299,530,29,3,1,152.682593856655,156.138429752066,92.7241379310345,250.666666666667,114,9.13954,11.387827,6.97584,15.461555,4.147843
"300","E01030697",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,15,24,7,0,0,24,45,1,0,0,69,137,0,0,0,66,163,0,0,0,49,144,0,0,0,21,73,0,0,0,19,45,1,0,0,7,15,0,0,0,3,4,0,0,0,1,52,0,0,0,275,702,14,1,0,145.098540145985,149.189230769231,92.3571428571429,0,NA,7.7857,10.978714,5.493888,2.080766,NA
"301","E01030719",0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,8,28,5,0,0,27,50,4,0,0,66,117,2,0,0,68,144,0,0,0,42,111,0,0,0,19,59,0,0,0,15,39,3,0,0,8,20,0,0,0,5,13,0,0,0,9,59,0,0,0,268,640,18,2,0,145.969111969112,150.938037865749,108.722222222222,0,NA,8.266678,10.581625,6.69374,2.754277,NA
"302","E01030718",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,8,22,3,0,0,24,45,3,0,0,44,97,2,0,0,44,131,1,0,0,44,101,0,0,0,18,54,0,0,0,19,44,2,0,0,10,8,0,0,0,12,8,0,2,0,3,61,0,0,0,227,571,15,2,0,154.482142857143,149.350980392157,106.066666666667,341,NA,7.95477,10.543863,5.969061,15.520875,NA
"303","E01030740",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,9,0,0,10,22,0,0,0,20,38,2,0,0,75,127,1,0,0,83,151,0,0,0,50,129,0,0,0,21,54,0,0,0,21,37,1,0,0,4,19,0,0,0,4,9,0,1,0,3,40,0,2,0,293,626,16,3,0,144.979310344828,150.081911262799,89.375,310,NA,8.092796,9.584576,3.268137,18.425735,NA
"304","E01030966",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,14,22,4,0,0,29,42,2,0,0,56,100,1,0,0,56,97,1,0,0,39,82,0,0,0,26,48,0,0,0,15,32,0,0,0,9,17,0,0,0,6,10,0,0,0,6,51,0,0,0,258,503,11,3,0,147.087301587302,150.046460176991,99.2727272727273,0,NA,7.228436,10.17935,4.609295,1.075975,NA
"305","E01030967",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,4,31,6,0,0,18,45,4,0,0,70,138,1,0,0,69,155,1,0,0,45,122,0,0,0,36,64,0,0,0,25,45,0,0,0,8,20,0,0,0,7,15,0,0,0,3,59,0,0,0,286,694,18,0,0,152.791519434629,151.190551181102,89.6111111111111,NA,NA,7.358413,9.613956,4.865616,NA,NA
"306","E01030964",0,0,0,6,0,0,0,5,0,0,0,0,1,0,0,2,0,1,0,0,11,26,2,0,0,26,40,5,0,0,85,122,3,0,0,82,156,2,0,0,61,94,0,0,0,41,70,0,0,0,14,47,1,0,0,7,11,0,0,0,2,25,0,0,0,1,55,0,1,0,332,646,20,7,0,145.36253776435,154.033840947547,97.1,0,NA,7.318662,9.971659,5.205475,4.068054,NA
"307","E01030965",0,0,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,10,22,4,0,1,22,50,5,0,0,76,146,3,0,0,69,142,4,0,0,52,88,0,0,0,40,82,1,0,0,31,58,4,0,0,9,114,1,0,0,13,49,0,1,0,0,144,0,2,0,322,895,31,9,1,155.537267080745,170.549933422104,114.258064516129,50.2857142857143,99,6.645324,8.080136,6.333796,7.446345,2.85284
"308","E01030732",0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,2,2,2,0,0,8,25,1,0,0,20,44,5,0,0,72,134,4,0,0,68,163,2,0,0,51,102,0,0,0,27,57,0,1,0,21,61,1,0,0,4,22,0,0,0,13,15,0,1,0,3,78,0,1,0,289,703,19,6,1,151.059440559441,152.8704,99.2105263157895,98.8,48,7.834553,10.620892,4.749882,7.345653,5.264887
"309","E01030735",0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,2,6,0,0,13,24,5,0,0,23,24,3,0,0,61,115,1,0,0,56,132,2,0,0,65,91,0,0,0,27,50,0,0,0,19,56,0,0,0,6,12,0,0,0,1,7,0,0,0,3,52,0,0,0,276,565,23,0,0,146.831501831502,151.557504873294,85.2173913043478,NA,NA,7.776666,10.409868,3.919768,NA,NA
"310","E01030733",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,7,0,0,8,24,2,0,0,14,50,2,0,0,62,143,3,0,0,59,150,1,0,0,33,110,0,0,0,29,72,0,0,0,14,55,1,0,0,16,26,0,0,0,9,16,0,0,0,3,70,0,2,0,247,717,18,3,0,154.922131147541,153.593508500773,97.5555555555556,0,NA,8.274519,10.292196,4.426952,13.511293,NA
