"","LSOA11","bA_DI_2018","bA_PT_2018","bA_HE_2018","bA_OT_2018","bA_ED_2018","bB_DI_2018","bB_PT_2018","bB_HE_2018","bB_OT_2018","bB_ED_2018","bC_DI_2018","bC_PT_2018","bC_HE_2018","bC_OT_2018","bC_ED_2018","bD_DI_2018","bD_PT_2018","bD_HE_2018","bD_OT_2018","bD_ED_2018","bE_DI_2018","bE_PT_2018","bE_HE_2018","bE_OT_2018","bE_ED_2018","bF_DI_2018","bF_PT_2018","bF_HE_2018","bF_OT_2018","bF_ED_2018","bG_DI_2018","bG_PT_2018","bG_HE_2018","bG_OT_2018","bG_ED_2018","bH_DI_2018","bH_PT_2018","bH_HE_2018","bH_OT_2018","bH_ED_2018","bI_DI_2018","bI_PT_2018","bI_HE_2018","bI_OT_2018","bI_ED_2018","bJ_DI_2018","bJ_PT_2018","bJ_HE_2018","bJ_OT_2018","bJ_ED_2018","bK_DI_2018","bK_PT_2018","bK_HE_2018","bK_OT_2018","bK_ED_2018","bL_DI_2018","bL_PT_2018","bL_HE_2018","bL_OT_2018","bL_ED_2018","bM_DI_2018","bM_PT_2018","bM_HE_2018","bM_OT_2018","bM_ED_2018","Unknown_DI_2018","Unknown_PT_2018","Unknown_HE_2018","Unknown_OT_2018","Unknown_ED_2018","AllCars_DI_2018","AllCars_PT_2018","AllCars_HE_2018","AllCars_OT_2018","AllCars_ED_2018","AvgCO2_DI_2018","AvgCO2_PT_2018","AvgCO2_HE_2018","AvgCO2_OT_2018","AvgCO2_ED_2018","AvgAge_DI_2018","AvgAge_PT_2018","AvgAge_HE_2018","AvgAge_OT_2018","AvgAge_ED_2018"
"207","E01030689",0,0,0,7,0,0,0,12,0,0,0,0,3,0,0,1,1,6,0,0,18,20,9,0,0,20,29,7,0,1,86,130,4,0,0,81,138,0,0,0,65,124,0,0,0,56,94,0,0,0,34,56,0,0,0,23,27,0,0,0,9,54,0,0,0,4,68,0,0,0,397,741,41,7,1,156.435114503817,165.527488855869,78.1463414634146,0,104,6.498236,8.905185,2.390477,2.362373,6.160164
"208","E01003813",0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,1,2,0,0,6,35,8,0,0,20,48,4,0,0,54,115,1,0,0,61,131,2,0,0,48,99,0,0,0,29,47,0,0,0,20,35,0,1,0,8,19,0,0,0,2,17,0,0,0,5,42,0,2,0,256,589,23,6,0,150.326693227092,150.151736745887,89.8695652173913,49.25,NA,7.286214,9.519184,4.70565,9.394478,NA
"209","E01031004",0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,0,5,0,0,18,26,5,0,0,34,49,5,0,0,69,165,1,0,0,76,199,0,0,0,47,140,0,0,0,33,79,0,0,0,22,49,1,0,0,3,16,0,0,0,4,9,0,0,0,3,65,0,0,0,311,797,19,4,0,143.295454545455,148.978142076503,94.6842105263158,0,NA,7.449832,10.029149,5.422817,0.997261,NA
"210","E01030650",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,14,0,0,0,15,38,2,0,0,49,87,0,0,0,49,113,0,0,0,37,101,0,0,0,18,50,0,0,0,11,34,1,0,0,4,7,0,0,0,3,10,0,0,0,5,30,0,0,0,201,484,6,1,0,145.209183673469,151.055066079295,105.666666666667,0,NA,8.479572,10.350041,6.396988,4.114989,NA
"211","E01030948",0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,1,2,0,0,10,23,0,0,0,26,48,2,0,0,71,144,3,0,0,70,148,2,0,0,42,107,0,1,0,21,51,1,0,0,11,68,0,0,0,3,20,0,0,0,3,12,0,1,0,5,60,0,0,0,263,682,15,2,1,141.449612403101,151.516077170418,92.6666666666667,235,48,7.615247,10.358207,3.809914,14.442162,2.275154
"212","E01030947",0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,18,32,3,0,0,31,25,0,0,0,71,120,0,0,0,76,146,1,0,0,40,94,0,0,0,22,52,0,0,0,16,28,0,0,0,5,15,0,0,0,5,4,0,0,0,2,37,0,3,0,288,553,9,4,0,142.146853146853,147.261627906977,83.5555555555556,0,NA,7.577961,9.954457,3.63191,16.735112,NA
"213","E01030949",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,11,31,3,0,0,24,49,2,0,0,69,129,0,0,0,73,162,0,0,0,56,112,0,0,0,34,73,0,0,0,24,55,0,0,0,3,20,0,0,0,9,19,0,0,0,5,66,0,2,0,308,717,10,4,0,150.039603960396,153.321044546851,86.2,0,NA,7.949624,10.80935,4.297056,10.285192,NA
"214","E01030717",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,7,30,1,0,0,26,54,3,0,0,51,131,2,0,0,63,136,0,0,0,38,107,0,0,0,27,83,0,1,0,12,33,0,0,0,2,11,0,0,0,4,12,0,0,0,3,60,0,1,0,235,658,7,2,0,144.793103448276,148.742474916388,97.2857142857143,174,NA,7.876502,10.123759,7.150874,16.298425,NA
"215","E01030716",0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,3,0,0,20,24,2,0,0,23,55,5,0,0,63,114,2,0,0,55,144,0,0,0,40,93,0,0,0,19,69,0,0,0,20,36,2,0,0,5,13,0,0,0,6,8,0,0,0,7,55,0,0,0,261,611,19,0,0,144.346456692913,148.077338129496,96.3684210526316,NA,NA,7.782943,10.123115,5.508099,NA,NA
"216","E01002598",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,10,11,5,0,0,19,25,6,0,0,46,91,2,0,0,62,114,0,0,0,32,87,0,0,0,16,56,0,0,0,17,40,1,0,0,5,11,0,0,0,3,6,0,0,0,2,49,0,0,0,214,491,18,0,0,146.028301886792,153.298642533937,101.333333333333,NA,NA,8.41225,10.938824,6.370978,NA,NA
"217","E01002599",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,3,20,5,0,0,14,18,3,0,0,62,56,2,0,0,63,102,0,0,0,35,88,0,0,0,17,50,0,0,0,10,32,0,0,0,8,7,0,0,0,1,8,0,0,0,4,37,0,1,0,218,418,15,1,0,146.032710280374,153.196850393701,89.2666666666667,NA,NA,8.938401,11.738788,5.338417,19.57837,NA
"218","E01030754",0,0,0,3,0,0,0,5,0,0,0,0,5,0,0,4,0,4,0,0,17,39,7,0,0,34,44,4,0,0,81,158,3,0,1,106,167,3,0,0,63,108,0,0,0,42,90,0,0,0,18,49,3,0,0,9,26,0,0,0,3,18,0,0,0,2,52,0,0,0,379,751,34,3,1,145.111405835544,152.114449213162,98.1176470588235,0,111,6.533053,9.181942,4.727784,1.263061,5.7577
"219","E01030756",0,0,0,5,0,0,0,4,0,0,0,0,1,0,0,1,1,8,0,0,13,33,10,0,0,20,45,2,0,0,72,159,2,0,0,81,152,0,0,0,53,105,0,0,0,30,75,0,0,0,22,55,2,0,0,5,20,0,0,0,8,23,0,0,0,4,93,0,1,0,309,761,29,6,0,148.750819672131,153.703592814371,91.4137931034483,0,NA,7.299145,10.350679,4.882342,4.721422,NA
"220","E01002558",0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,5,0,0,14,22,4,0,0,20,27,7,0,0,63,85,0,0,0,77,142,0,0,0,37,99,0,0,0,21,74,0,0,0,16,43,0,1,0,6,5,0,0,0,6,11,0,1,0,1,43,2,1,0,265,551,22,3,0,145.375,154.023622047244,90.3,227.5,NA,8.34846,10.603145,6.684051,14.62286,NA
"221","E01002559",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,15,17,12,0,0,29,28,5,0,0,69,98,2,0,0,80,130,1,0,0,73,129,0,0,0,30,76,0,0,0,28,65,0,1,0,10,11,0,1,0,9,10,0,0,0,1,56,0,0,0,346,620,26,2,0,150.510144927536,156.792553191489,95.1923076923077,221.5,NA,8.16154,10.931487,6.490348,14.543463,NA
"222","E01002988",0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,2,5,3,0,0,10,21,1,0,0,21,42,1,0,0,21,51,0,1,0,24,48,0,0,0,15,38,0,0,0,13,21,0,0,0,2,7,0,0,0,3,7,0,0,0,1,31,0,1,0,112,271,10,2,0,154.837837837838,156.058333333333,80.6,146,NA,8.239659,10.756068,5.121423,16.845995,NA
"223","E01030998",0,0,0,3,0,0,0,9,0,0,0,0,2,0,0,0,1,3,0,0,13,21,9,0,0,14,70,3,0,0,87,189,5,0,0,100,189,3,0,0,82,137,0,0,0,56,93,1,0,0,31,68,2,0,0,21,31,0,0,0,7,47,0,0,0,3,91,0,5,0,414,937,37,8,0,155.729927007299,157.975177304965,93.7027027027027,0,NA,7.029892,9.917153,3.929999,13.46646,NA
"224","E01030980",0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,2,0,11,0,0,6,5,6,0,0,22,22,7,0,1,66,42,1,0,0,99,76,0,0,0,52,89,0,0,0,22,45,0,0,0,10,19,0,0,0,11,10,0,0,0,2,5,0,0,0,4,28,0,0,0,296,341,30,1,1,145.095890410959,155.769968051118,85.9666666666667,0,109,8.804104,12.350065,6.409119,2.822724,5.508555
"225","E01030981",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,6,9,14,0,0,32,15,11,0,0,98,43,1,0,0,102,97,0,0,0,69,85,0,0,0,39,53,1,1,0,29,20,0,0,0,5,8,0,0,0,3,7,0,0,0,6,46,1,0,0,390,383,33,2,0,146.380208333333,155.928783382789,96.5,88.5,NA,8.932344,12.930257,8.322006,6.527036,NA
"226","E01030742",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,13,26,5,0,0,24,45,8,0,0,54,162,0,0,0,58,162,2,0,0,55,111,0,0,0,31,73,0,0,0,17,43,0,0,0,8,18,0,0,0,3,7,0,0,0,5,64,0,0,0,271,711,16,1,0,148.172932330827,148.412673879444,104.9375,0,NA,8.116312,10.137458,7.432408,2.997946,NA
"227","E01030727",0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,2,1,2,0,0,9,16,4,0,0,33,47,4,0,0,84,141,0,0,0,61,182,0,0,0,53,122,0,0,0,29,73,1,0,0,22,41,0,1,0,7,22,0,1,0,6,20,0,0,0,3,69,0,0,0,309,734,15,3,0,146.281045751634,153.398496240602,89.4666666666667,147.666666666667,NA,8.198985,10.291063,5.2731,8.961897,NA
"228","E01030373",0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,10,22,6,0,0,17,54,2,0,0,56,98,4,0,0,66,142,1,0,0,63,99,0,0,0,28,56,0,0,0,17,54,1,0,0,12,20,0,0,0,9,24,0,0,0,4,63,0,0,0,284,632,18,2,0,153.696428571429,156.026362038664,107,0,NA,7.906642,10.169634,4.198645,1.23477,NA
"229","E01002650",0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,7,0,14,0,0,14,12,23,0,0,30,27,15,0,1,67,71,3,0,0,74,140,2,0,0,52,109,0,0,0,30,56,0,0,0,15,25,1,0,0,8,9,0,0,0,4,12,0,0,0,4,29,0,0,0,305,490,63,2,1,143.996677740864,153.39262472885,95.6031746031746,0,109,8.036348,10.304551,7.273616,2.646132,6.031485
"230","E01002613",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,14,19,5,0,0,28,22,5,0,0,77,93,3,0,0,51,107,1,0,0,47,95,0,0,0,23,51,1,0,0,17,37,2,0,0,3,5,0,0,0,9,8,0,1,0,5,46,0,1,0,274,483,23,2,0,145.345724907063,151.274599542334,109.739130434783,317,NA,8.713489,10.635152,6.075409,16.966461,NA
"231","E01002612",0,0,0,2,0,0,0,6,0,0,0,0,2,0,0,0,0,5,0,0,10,17,7,0,0,17,20,7,0,0,43,58,3,0,0,58,108,0,0,0,38,72,0,0,0,17,53,0,0,0,17,30,0,1,0,4,10,0,0,0,4,10,0,0,0,1,32,1,0,0,209,410,31,3,0,147.995192307692,154.880952380952,83.3,64,NA,8.51051,11.235248,5.43962,7.232488,NA
"232","E01002615",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,1,0,0,5,9,4,0,0,16,11,10,0,0,35,53,2,0,0,38,81,0,0,0,29,80,0,0,0,13,38,0,0,0,10,33,0,0,0,3,6,0,0,0,3,6,0,0,0,2,46,0,0,0,158,363,21,0,0,145.147435897436,156.596214511041,92.3809523809524,NA,NA,9.016317,11.792319,6.777138,NA,NA
"233","E01002614",0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,1,4,0,0,4,14,8,0,0,25,33,4,0,1,70,115,5,0,0,57,132,0,1,0,48,103,0,0,0,24,64,0,0,0,10,37,1,0,0,11,8,0,0,0,3,9,0,1,0,3,36,0,0,0,257,552,24,4,1,146.393700787402,151.854651162791,99.0833333333333,116.5,110,8.712139,10.372444,7.155497,5.504448,4.498288
"234","E01030671",0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,8,13,3,0,0,15,20,2,0,0,35,41,0,0,0,43,63,0,0,0,31,44,0,0,0,17,36,0,0,0,11,24,0,0,0,5,13,0,0,0,1,10,0,0,0,3,34,0,0,0,172,298,8,3,0,145.704142011834,159.746212121212,86.75,0,NA,7.004201,11.426691,6.144421,1.559661,NA
"235","E01030678",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,24,26,3,0,0,18,32,1,0,0,53,104,1,0,0,65,138,1,0,0,36,82,0,0,0,15,39,0,0,0,13,36,1,0,0,5,14,0,0,0,6,10,0,0,0,2,37,0,1,0,239,518,8,1,0,143.037974683544,149.550935550936,112.25,NA,NA,7.468867,9.291544,4.84223,18.748802,NA
"236","E01030673",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,4,9,4,0,0,19,26,1,0,0,45,74,2,0,0,56,66,1,0,0,44,65,0,0,0,26,35,0,0,0,24,36,0,0,0,9,11,0,0,0,4,27,0,0,0,3,49,0,1,0,236,399,11,3,0,153.214592274678,163.742857142857,96.9090909090909,0,NA,6.590899,10.522582,3.656523,7.484371,NA
"237","E01030670",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,11,4,0,0,10,20,1,0,1,40,66,0,0,0,50,76,0,0,0,28,46,0,0,0,15,32,0,0,0,8,18,0,0,0,2,8,0,0,0,1,4,0,0,0,5,37,0,0,0,166,319,6,1,1,143.254658385093,149.099290780142,94.3333333333333,0,110,8.095181,10.61716,4.409308,3.613963,5.048596
"238","E01030548",0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,7,0,0,18,29,2,0,0,25,34,3,0,0,83,101,1,0,1,73,137,0,0,0,64,94,0,0,0,25,63,0,0,0,28,52,1,0,0,9,22,0,0,0,13,29,0,0,0,2,45,0,3,0,340,607,17,5,1,150.352071005917,159.692170818505,92.8823529411765,0,112,7.518065,10.071412,4.114184,13.725393,6.006844
"239","E01030543",0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,4,0,0,14,19,0,0,0,20,52,0,0,0,60,164,1,0,0,77,167,0,0,0,51,94,0,0,0,29,63,0,0,0,34,55,0,1,0,8,22,0,0,0,7,19,0,0,0,2,57,0,0,0,304,713,8,2,0,152.076158940397,151.765243902439,73.5,98,NA,7.722539,9.64732,2.722107,8.594113,NA
"240","E01003828",0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,1,0,3,0,0,13,17,8,0,0,11,34,4,0,1,46,91,1,0,0,67,109,2,0,0,59,90,0,0,0,18,58,0,0,0,12,46,1,0,0,6,14,0,0,0,2,14,0,0,0,4,52,0,0,0,239,525,25,2,1,147.404255319149,155.99577167019,92.56,0,107,7.884494,10.118082,4.830334,0.810403,6.026009
"241","E01030997",0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,3,2,1,0,0,9,19,5,0,0,20,51,1,0,0,71,139,3,0,0,75,159,3,0,0,49,102,0,1,0,27,70,0,0,0,28,49,0,0,0,13,20,0,0,0,4,23,0,0,0,4,63,0,1,0,303,697,17,4,0,150.8127090301,154.580441640379,100.235294117647,52,NA,7.259225,10.138012,3.655835,10.804243,NA
"242","E01030687",0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,13,20,2,0,0,20,35,2,0,0,69,99,2,0,0,57,107,0,0,0,40,80,0,0,0,17,46,0,0,0,25,36,0,0,0,7,11,0,0,0,4,14,0,0,0,5,62,0,0,0,258,510,11,1,0,146.873517786561,151.883928571429,88.8181818181818,0,NA,7.235222,11.676419,4.434322,0.331279,NA
"243","E01030655",0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,4,1,4,0,0,18,33,1,0,0,60,42,2,0,0,94,156,4,0,0,91,170,1,0,0,58,105,0,0,0,35,52,0,0,0,29,38,0,0,0,11,20,0,0,0,3,11,0,1,0,3,53,0,0,0,406,681,20,2,0,142.920595533499,147.46178343949,82.35,144,NA,6.667274,9.541559,4.017384,8.439424,NA
"244","E01030675",0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,5,10,2,0,0,12,32,0,0,0,54,79,0,0,0,50,91,1,0,0,44,76,0,0,0,20,40,0,0,0,13,31,0,0,0,6,8,0,0,0,3,7,0,0,0,3,39,0,0,0,212,413,7,4,0,148.047846889952,151.641711229947,89.1428571428571,0,NA,6.923414,10.139566,2.931064,2.073921,NA
"245","E01030672",0,0,0,6,0,0,0,5,0,0,0,0,4,0,0,1,0,3,0,0,18,22,4,0,0,27,52,3,0,0,90,136,6,0,0,105,150,3,0,0,76,86,0,0,0,57,75,0,0,0,35,52,1,0,0,19,25,0,0,0,11,31,0,0,0,3,71,0,2,0,442,700,29,8,0,153.451025056948,156.691573926868,95.7931034482759,0,NA,6.711016,10.179348,3.90002,8.161532,NA
"246","E01030677",0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,9,16,3,0,0,36,36,2,0,1,75,124,2,0,0,73,120,2,0,0,61,95,0,0,0,47,56,0,0,0,37,66,2,0,0,29,30,0,0,0,14,31,0,0,0,9,84,0,1,0,393,658,15,2,1,159.239583333333,162.609756097561,107.866666666667,0,107,7.955404,11.650711,6.900478,6.970568,6.729637
"247","E01030679",0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,5,0,1,0,0,16,16,5,0,0,19,34,3,0,0,76,95,2,0,0,75,115,0,0,0,58,68,0,0,0,44,46,0,0,0,26,43,2,1,0,12,12,0,0,0,11,36,0,1,0,14,65,0,0,0,356,530,17,6,0,152.578947368421,162.058064516129,96.4117647058823,83.1666666666667,NA,7.536761,10.650301,4.452389,6.3509,NA
"248","E01030710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,19,18,9,0,1,25,32,4,0,0,82,80,2,0,0,77,156,0,0,0,64,109,0,0,0,33,58,0,0,0,22,33,0,0,0,6,11,0,0,0,6,4,0,0,0,2,40,0,0,0,340,541,19,0,1,146.245562130178,150.357285429142,95.6315789473684,NA,99,8.610113,10.736463,5.488381,NA,4.060232
"249","E01002949",0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,11,25,5,0,0,16,47,1,0,1,70,128,1,0,0,68,145,0,1,0,26,111,0,0,0,23,73,0,2,0,16,63,1,0,0,10,9,0,0,0,3,6,0,0,0,4,50,0,2,0,248,657,15,7,1,146.372950819672,150.682042833608,91.5333333333333,100.8,104,8.110422,10.1926,4.378005,11.613571,6.757015
"250","E01030711",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,1,0,0,13,27,4,0,0,30,38,1,0,0,63,108,2,0,0,54,139,0,0,0,45,98,0,0,0,33,76,1,0,0,23,40,1,0,0,5,6,0,0,0,7,6,0,0,0,3,39,0,0,0,278,578,13,0,0,148.152727272727,148.951762523191,104.615384615385,NA,NA,8.819325,10.212378,6.933712,NA,NA
"251","E01002948",0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,2,2,4,0,0,16,28,9,0,0,27,43,3,0,0,76,125,3,0,0,76,165,0,0,0,58,118,0,0,0,27,57,0,0,0,20,44,0,0,1,14,20,0,0,0,7,10,0,1,0,4,57,0,0,0,327,669,26,1,1,149.201238390093,150.104575163399,86.6538461538462,397,219,7.576128,9.758969,4.213446,15.863107,3.419575
"252","E01030750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,8,25,2,0,0,28,34,5,0,0,56,98,0,0,0,55,144,0,0,0,44,77,0,0,0,22,63,0,0,0,12,39,2,0,0,1,13,0,0,0,4,6,0,0,0,1,38,0,0,0,234,538,12,0,0,142.223175965665,150.664,114,NA,NA,8.234717,10.307039,8.404517,NA,NA
"253","E01030753",0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,4,0,9,0,0,18,30,3,0,0,19,64,2,0,0,73,137,1,0,0,75,187,2,0,0,40,97,0,1,0,49,64,0,0,0,23,43,2,0,0,11,26,0,0,0,5,15,0,0,0,2,78,0,0,0,319,741,23,5,0,149.457413249211,150.001508295626,99.0434782608696,33.2,NA,7.742392,10.431017,4.76136,7.861464,NA
