"LAD11NM","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Dover",44435,46101,47491,48563,49439,49660,50373,50478,50750,51012,51199,51599,52346,53339,54501,55482,56428,57112
"Dudley",128844,131590,133172,136688,139983,139857,141118,142436,143241,143766,144074,144916,146965,149900,151267,153696,154645,156252
"Dumfries and Galloway",62174,64263,66198,68464,70567,70691,71641,72168,72501,72304,72440,72562,73137,74224,74559,75366,75683,75812
"Dundee City",45007,46053,46705,48156,49057,48934,49589,50198,50408,50491,50613,51024,51929,52992,53662,54813,55561,55989
"Ealing",102412,104330,105175,107329,109227,109527,112490,112981,112686,112752,112302,111592,112217,114112,116809,117736,117108,116767
"East Ayrshire",43532,45210,46590,48204,49693,50287,51432,52223,52550,52653,52620,52887,53470,54474,54965,55848,56497,57083
"East Cambridgeshire",35970,37367,38191,40056,41097,41789,42704,43524,44049,44583,45274,45996,46704,47557,48375,48845,49132,49668
"East Devon",62866,64710,66495,68292,69364,69703,70633,71173,71590,71868,72318,72751,73725,75330,77180,78893,80642,81733
"East Dorset",48689,50438,51327,52333,53565,53402,53965,54545,54710,55030,55125,55520,55891,56600,57053,57479,57840,58160
"East Dunbartonshire",45705,46625,47142,49040,50112,49504,50399,50348,51314,51210,51195,51364,52538,53466,54698,56438,55043,55375
"East Hampshire",59501,60643,61211,62991,64287,64708,65775,66372,67134,67803,68531,69142,70422,71804,73173,74380,74962,76147
"East Hertfordshire",66877,68361,69375,70559,72016,72066,73151,73850,74397,75334,76022,76466,77253,78816,79966,81148,81931,82399
"East Lindsey",59750,62393,63883,66260,67771,68330,69403,69853,70325,70466,70790,70953,71558,72835,73624,74954,75553,75929
"East Lothian",36336,37654,39034,40216,41441,42295,43609,44472,45014,45559,45876,46352,47074,48065,48940,49928,50654,51469
"East Northamptonshire",37464,39120,40052,41640,43041,43544,44560,45266,45461,45804,46109,46800,47650,48856,50033,51337,52392,53215
"East Renfrewshire",38172,39476,40324,41062,42055,42061,42509,43001,43248,43648,43859,44263,44811,45622,46129,46823,47253,47760
"East Riding of Yorkshire",142120,148200,152280,158194,162948,163348,165701,167269,168136,168662,169455,170478,172051,174418,176077,178527,180558,182330
"East Staffordshire",49714,49776,51152,50744,51839,51980,53001,52955,53103,53186,53421,54011,54870,55953,57699,59055,59790,60799
"Eastbourne",35589,37038,38127,39242,40393,40928,41457,41441,41735,41649,42686,43477,43805,44918,46093,46205,46291,46769
"Eastleigh",59342,60411,61256,63511,64683,65050,65529,65789,66282,66962,67699,68364,69215,70212,70888,71974,72769,73591
"Eden",24971,25750,26512,27264,27800,27750,28012,28315,28486,28455,28507,28610,28756,29310,29545,30051,30255,30324
"Elmbridge",66888,70706,69759,73118,74458,75110,75977,76251,76517,77326,78547,79572,80896,81528,81703,81543,81849,81628
"Enfield",106087,107404,108968,111202,113152,112640,113718,114717,114664,114852,114363,113914,114881,116379,118760,120325,120076,119658
"Epping Forest",60506,61459,62615,63833,65076,65510,66131,66833,66948,67550,68266,68788,69622,70555,71291,71952,71876,72085
"Epsom and Ewell",33533,34099,34601,35275,35898,36318,36654,37114,37216,37562,37904,38198,38751,39318,39592,39948,40158,40415
"Erewash",47054,49063,50114,50771,51500,51474,52326,52889,53266,54254,54478,55008,56128,57570,58069,58699,59486,59486
"Exeter",46700,47037,48021,48983,50596,53570,55148,53355,54394,55860,57258,59424,63317,63016,61693,63317,67021,66858
"Falkirk",57606,59986,61641,63905,66423,67115,68678,69809,70174,70444,71301,71975,73373,74832,75942,77752,79088,79878
"Fareham",54553,56234,56669,57742,58815,59183,60124,60929,61305,61683,61907,62580,63237,64251,64856,65864,66198,66372
"Fenland",39616,41312,42846,44279,45579,46006,46911,47466,47810,48182,48478,48970,49659,50945,52230,53497,54365,54851
"Fife",139707,145164,147904,153168,157411,158411,161238,163481,164249,164452,165249,166478,168462,171544,173173,176101,178648,179862
"Flintshire",70602,72845,74144,75159,76433,76692,77335,77674,78126,78376,78538,79332,80643,81885,82885,84172,85321,85996
"Forest Heath",32143,32725,32660,33861,34270,33134,33910,34158,32983,33729,34602,35071,36224,36599,37386,38190,38810,39059
"Forest of Dean",40178,41486,42006,43295,44240,44269,44926,44919,44983,45218,45673,46274,46797,47920,48688,49730,50406,50973
"Fylde",35455,36495,37211,38279,38990,39175,39694,39946,40358,40421,40514,40650,41229,41588,42001,42603,43298,43887
"Gateshead",61284,63766,65035,67278,69072,69697,71000,71641,71963,71631,71356,71802,72317,73983,74938,76044,76980,77393
"Gedling",47677,48744,49885,51005,51742,51558,52027,52564,52832,52913,53065,53666,54437,55335,55968,56877,57555,58055
"Glasgow City",163532,170923,175731,180118,187275,189384,194295,197388,203564,204417,204105,207671,211891,222028,223223,192786,197251,200057
"Gloucester",47090,48512,49693,51061,52119,52551,53504,54102,54291,59345,71641,75234,77176,77943,79569,65669,87278,91958
"Gosport",30885,32047,32910,33517,34261,34244,35000,35455,35444,35429,35525,35541,36121,36970,37500,38413,38780,38921
"Gravesham",39695,40740,41389,42206,43105,43281,43867,44397,44813,45150,45629,46135,46890,48060,49297,50057,50245,50538
"Great Yarmouth",37006,38408,39209,40591,41485,41468,42184,42380,42681,42665,42527,42872,43298,44226,45014,45892,46445,46755
"Greenwich",64417,66313,68109,70593,72085,71891,72497,73030,72569,72309,72145,71869,72644,74527,76429,77748,78047,78519
"Guildford",66603,67632,68479,68867,70484,71327,72398,72697,73074,73783,74329,75140,75365,76298,76771,77390,77353,77443
"Gwynedd",49076,51076,52525,54171,55242,55321,55685,55910,55762,55589,55471,55633,55785,56734,57407,58022,58287,58689
"Hackney",41777,42056,42197,43241,43812,43269,42862,42554,42160,41492,40105,38974,39118,40121,41328,41876,41703,41535
"Halton",49276,51152,52129,53959,55189,54984,55473,56030,56004,56227,56377,56828,57363,58232,58600,59398,60878,61966
"Hambleton",43501,44669,45510,46849,47573,47570,48268,48677,49205,49188,49563,49584,50031,50725,51331,51887,52242,52632
"Hammersmith and Fulham",39233,39180,39038,41838,42174,41543,39406,40560,42365,42530,42590,41983,41777,41913,42600,42903,43058,42859
"Harborough",39070,40596,41410,42763,43944,44132,44957,45648,46212,46883,47587,48235,48861,50016,50871,51959,52783,53822
"Haringey",59646,60817,61520,62925,63583,62778,63162,63226,62445,61604,60257,58897,58614,59271,61057,62031,61952,61775
"Harlow",32892,33543,33766,34703,35346,35517,35684,35961,36191,36365,36460,36929,37738,39064,40349,41090,41511,42047
"Harrogate",78852,81459,83429,85623,81030,79813,80540,81453,81958,82814,83364,84251,85649,87191,88352,89075,88950,89349
"Harrow",92676,88657,89200,91333,92951,93099,94446,96020,96173,96503,96279,96305,97056,98280,100058,100926,100621,100236
"Hart",66546,67111,66368,67456,77429,85840,84709,85680,81567,85297,57289,56958,56527,57578,58130,58948,59446,60113
"Hartlepool",29296,30459,31596,33014,33943,34187,34663,34931,35066,34827,35105,35496,36029,36797,37428,38127,38636,39268
"Hastings",30574,31924,33163,33971,34542,34539,34826,35031,35312,35401,35458,35601,35977,36809,37747,38686,39137,38936
"Havant",54196,54942,55523,56692,57453,57488,58074,58385,58725,59105,59306,59506,60186,61554,62744,64075,64774,65172
"Havering",95198,97147,98730,100736,102565,103062,104194,105183,105551,105953,106711,107676,108844,111594,113807,115360,115147,115242
"Herefordshire, County of",83694,86724,98113,98527,98619,97627,98877,99511,97618,98036,98453,99404,100007,101667,103588,105217,106068,106663
"Hertsmere",77848,81930,63214,56778,60413,59649,55422,50461,50929,51689,52258,52837,53596,54542,54965,55502,55679,55674
"High Peak",38382,39400,40163,41245,42402,42584,43177,43350,43710,43547,43818,43932,44547,45227,45723,46117,46588,47083
"Highland",85852,89446,93008,96864,100120,101473,103886,105654,106399,106611,106969,107901,109666,111405,112659,114509,115973,116783
"Hillingdon",120686,118283,115309,117749,125927,130678,136972,138349,124928,126297,126486,128122,130119,134713,136300,136785,136785,140568
"Hinckley and Bosworth",47750,49605,50500,52304,53751,53933,54570,55208,55700,56169,56647,57216,58027,59545,60753,61890,62796,63488
"Horsham",70809,71687,72005,73998,75365,75471,76295,75337,75907,76599,77035,77480,78640,80494,82012,83885,85050,86079
"Hounslow",95196,94612,93533,97465,94725,94421,96883,98012,90958,91311,91308,91652,92519,94139,95738,96926,97120,97021
"Huntingdonshire",92053,93331,92500,93010,94243,93579,94138,94427,95484,96436,97714,99564,99790,101678,102535,104704,104642,105769
"Hyndburn",29526,30634,31320,32349,33109,33207,33598,33865,33651,33442,33265,33170,33296,33957,34393,34942,35446,35772
"Inverclyde",27611,28229,28924,29795,30604,30859,31444,31719,31950,32091,31895,31980,32455,33010,33343,33886,34383,34517
"Ipswich",46768,48796,49994,51455,52348,52631,53283,53767,54166,55078,54888,55317,56213,57501,59034,60698,61272,61789
"Isle of Anglesey",31819,33323,34238,35355,36100,36107,36503,36661,36695,36607,36568,36806,36993,37558,37695,38085,38196,38171
"Isle of Wight",58245,59846,60877,62704,63883,63952,64877,64964,65082,65281,65542,65905,66559,67651,68770,69891,71008,71427
"Isles of Scilly",428,431,453,465,481,474,461,478,481,479,489,484,490,506,521,512,531,534
"Islington",39282,39364,39556,39700,39892,39262,38616,38301,37742,37326,36412,35512,35494,35878,36527,36496,35864,36248
"Kensington and Chelsea",44787,46182,46813,47265,47731,48078,47274,46154,45589,45028,44112,43360,42631,42377,42118,41885,41489,41343
"Kettering",39059,40292,41504,42584,48903,49284,50197,50712,50745,50914,51736,52420,52670,54541,55677,57222,58078,58847
"King's Lynn and West Norfolk",66555,68829,70221,72629,74032,74264,75238,75481,75942,76182,76387,77427,78159,79767,80889,82282,83177,83704
"Kingston upon Hull, City of",72146,74929,76343,79674,81585,81310,82236,83295,83388,83343,82296,82474,83524,85857,88418,91022,92787,93863
"Kingston upon Thames",59469,61471,61360,62171,63316,62791,63463,63588,63369,63417,63455,63740,64026,64672,65318,66080,66062,65823
"Kirklees",148242,152481,154783,160536,164355,165296,167772,169767,171260,171790,172627,173674,175823,179823,182596,185085,187661,189924
"Knowsley",44927,46292,47704,50482,51562,51754,52659,53353,53325,52398,51515,51407,51999,53365,54513,55684,56907,57960
"Lambeth",66109,66107,66189,65224,65403,64658,63825,63930,63169,62430,61456,60670,60906,61965,63607,64599,64490,63722
"Lancaster",51868,53583,55162,56767,57980,57797,58795,58870,59063,58955,58645,58661,59276,60082,60726,61650,62276,62944
"Leeds",278234,288209,294485,303680,315528,315907,332892,346296,335969,337243,341272,346230,321109,326170,338909,366400,379326,397261
"Leicester",108751,119139,119412,118714,126609,123024,132614,142559,137193,137089,133924,132199,137914,149385,151915,155092,151745,155305
"Lewes",42997,43970,45029,45734,46397,46468,46900,47196,47441,47811,47898,48301,49269,49998,50704,51207,51504,50376
"Lewisham",70355,71329,72136,73771,74677,74332,74443,74707,74227,73233,72212,71924,72603,73714,75633,77139,77314,76938
"Lichfield",51808,55691,52152,52907,52467,53721,54099,54427,61280,56682,55722,55945,56597,57598,58226,58752,59003,59429
"Lincoln",31211,32089,32682,33566,34548,34499,35161,35610,35543,35615,35645,36194,36626,37141,37500,38123,38707,39018
"Liverpool",120200,123985,127057,131685,134969,135394,135499,137039,137144,135601,133366,132272,133701,136539,139111,142441,145752,149334
"Luton",66046,68333,70199,71642,72974,72756,73471,74733,75226,75271,74811,74925,75862,77978,80922,82744,83065,84137
"Maidstone",68921,71240,73162,74733,76387,76974,78118,79117,80094,80799,81754,82884,84004,85856,87562,89211,90669,91822
"Maldon",31419,32225,32411,33615,34165,34289,34795,35092,35570,35670,36124,36309,36706,37381,38057,38626,39091,39543
"Malvern Hills",38386,39802,40132,41497,42302,42344,42845,43176,43585,43867,44111,44593,45201,45727,46231,47031,47572,48121
"Manchester",127726,127647,123025,126849,129776,130007,130581,133095,132703,131976,130277,129218,131417,135871,141698,146339,149887,154248
"Mansfield",39638,40987,42131,43426,44679,44987,45897,46492,46778,46915,47072,47636,48287,49255,50248,51173,51770,52414
"Medway",104366,107379,109427,111896,113948,114362,115442,116672,117518,118250,119182,120755,122949,125809,128576,130913,132155,132696
"Melton",22959,23776,24283,24888,25334,25438,25675,25819,26049,26163,26623,27005,27385,27917,28278,28677,28917,29214
"Mendip",50770,52237,52866,54847,55928,55976,57082,57477,57805,58369,58871,59722,60464,61622,62625,63832,64656,65432
"Merthyr Tydfil",19870,20529,21133,21987,22578,22894,23383,23636,23829,23948,23994,24137,24512,25047,25546,26132,26415,26789
"Merton",65088,65525,65448,67126,68301,68231,68971,69636,69503,69707,69377,69673,70264,70792,72195,73829,72290,71886
"Mid Devon",34757,36123,36884,38365,39214,39619,40427,41022,41357,41576,41850,41982,42433,43156,43847,44666,45378,45787
"Mid Suffolk",46154,47476,48586,50483,51594,52220,53184,53947,54679,55298,55731,56478,57346,58743,59866,61079,62012,62679
"Mid Sussex",67897,69383,69166,70816,72002,71467,72363,73179,73747,74464,75223,76234,77349,78639,79930,81339,82296,84381
"Middlesbrough",43828,45196,46193,47757,48850,48515,49327,49812,49921,49552,49284,49303,49663,50980,52109,52979,53504,53977
"Midlothian",32334,33088,33748,34434,34617,34769,35331,35744,36025,36299,36705,37313,38121,39304,40471,41753,42940,43623
"Milton Keynes",136093,134265,129421,128338,133747,136700,149534,164422,165929,169177,179659,193008,208376,228638,253385,293164,325475,340128
"Mole Valley",44719,45511,46259,47150,47943,48109,48684,49014,49443,50016,50494,51210,51698,52339,52535,53725,54651,54720
"Monmouthshire",41882,43663,44968,46575,47591,47841,48411,48634,48957,49354,49759,50377,50827,51613,52604,53254,53994,54382
"Moray",36170,37575,38391,39863,41100,41287,42135,42729,43051,42793,42954,43496,44293,45411,45891,46420,46947,47158
"Na h-Eileanan Siar",9870,10327,10681,11325,11678,11872,12037,12144,12267,12360,12448,12552,12692,12822,12830,12941,13058,13042
"Neath Port Talbot",53126,55862,57749,60639,62829,62858,63303,63386,63269,63516,63636,64075,64718,66181,67172,68094,68660,69318
"New Forest",91763,94048,95039,97363,98958,99098,100200,100776,101438,101811,102295,102930,103869,105529,106637,107930,108424,108976
"Newark and Sherwood",47561,49674,51058,52869,54329,54770,55587,56193,56561,57072,57605,58263,59151,60172,61107,62012,63098,63673
"Newcastle-under-Lyme",50473,52243,52884,54689,55509,55635,56029,56435,56574,56634,56771,57859,57921,58964,59628,60386,60808,61124
"Newcastle upon Tyne",74647,76016,77458,80121,82406,82085,82969,83832,85785,85384,84723,84834,85742,87598,89406,91059,92327,93378
"Newham",57055,58545,59249,61245,63019,62814,63083,64230,63404,62918,61156,59866,59779,61761,65360,67805,69983,70095
"Newport",52089,54801,56462,58648,60423,60861,61789,62074,62631,62761,62669,63229,64188,65567,67146,69204,71386,72702
"North Ayrshire",48377,50150,51353,53418,55094,55582,56606,57464,57251,57302,57597,58029,58590,59957,60767,61338,61539,61746
"North Devon",40895,42112,42931,44317,44964,44974,45551,45716,45897,46275,46218,46409,46681,47655,48164,48958,49543,49968
"North Dorset",31580,32993,33466,35196,35967,36476,37300,37806,38056,38364,38709,39268,39814,40419,40930,41687,41986,42365
"North East Derbyshire",44186,45445,46249,47587,48523,48386,49168,49847,50155,50516,50834,51333,51936,52717,53333,53966,54423,54863
"North East Lincolnshire",56792,60998,60445,62026,63394,63275,63931,64614,64642,64221,64104,64532,64977,66177,67310,68821,69924,70514
"North Hertfordshire",56234,58112,59141,61100,62277,62553,63198,64226,64939,65877,66307,67005,67906,68899,69705,70760,71168,71806
"North Kesteven",46860,49156,50531,52350,53910,54601,55783,56654,57415,58103,58666,59412,60535,61908,62904,64364,65310,65970
"North Lanarkshire",109103,113677,116254,120543,124314,125841,128832,130709,131733,131858,132943,134226,136759,139943,142544,145863,148120,149230
"North Lincolnshire",67674,70650,72176,75372,77185,77836,79062,79814,79942,79789,79933,80524,81466,83257,84236,85844,86602,87496
"North Norfolk",48737,50317,51016,52727,53473,53379,54055,54120,54311,54602,54785,55157,55570,56724,57563,58560,58710,58942
"North Somerset",92499,95883,98272,100613,103132,104090,105606,107017,108138,108923,109674,110417,112220,114422,116374,118295,119724,120830
"North Tyneside",65754,68546,70567,74023,76437,77058,78573,79878,80507,80638,80702,81086,82253,83924,85188,87031,88144,89263
