"country","year","fuel","cars","AvgCO2_mean","AvgAge_mean"
"E",2001,"DIESEL",2891394,168.413275090431,5.91753061049991
"E",2001,"ELECTRIC DIESEL",2,NA,0.6302207
"E",2001,"HYBRID ELECTRIC",711,116.404444444444,0.701594505240188
"E",2001,"OTHER",22076,182.55067464455,4.8030271328362
"E",2001,"PETROL",18557044,177.781589874383,7.45436775053305
"E",2002,"DIESEL",3278039,165.831050764583,5.88646374544679
"E",2002,"ELECTRIC DIESEL",2,NA,1.8629385
"E",2002,"HYBRID ELECTRIC",1020,116.04468412943,1.55129715425968
"E",2002,"OTHER",26015,182.295369533762,5.68211253811684
"E",2002,"PETROL",18688927,177.396493233197,7.30869324521975
"E",2003,"DIESEL",3688422,165.876121287386,5.80553031611587
"E",2003,"ELECTRIC DIESEL",2,NA,2.8608795
"E",2003,"HYBRID ELECTRIC",1360,114.517831448763,2.25895763208409
"E",2003,"OTHER",30248,184.266010083664,6.35867912392542
"E",2003,"PETROL",18610178,176.746455819832,7.22435565969731
"E",2004,"DIESEL",4192177,165.373967903943,5.68668306220842
"E",2004,"ELECTRIC DIESEL",3,NA,4.59987666666667
"E",2004,"HYBRID ELECTRIC",2792,108.458595837616,1.86343204078253
"E",2004,"OTHER",33393,186.874083844156,6.8448110792594
"E",2004,"PETROL",18658626,176.422848252025,7.21378441915898
"E",2005,"DIESEL",4703979,165.183831347647,5.64377338821935
"E",2005,"ELECTRIC DIESEL",4,192,2.7280991
"E",2005,"HYBRID ELECTRIC",7679,122.311650941355,1.45826331945227
"E",2005,"OTHER",35072,188.547144530046,7.45153679499582
"E",2005,"PETROL",18644682,175.972702682541,7.30783264277189
"E",2006,"DIESEL",5085398,164.923008086959,5.60807357515832
"E",2006,"ELECTRIC DIESEL",6,162.666666666667,2.49127501666667
"E",2006,"HYBRID ELECTRIC",15493,129.063873376541,1.53773323276515
"E",2006,"OTHER",37494,196.915888885731,7.97406914545861
"E",2006,"PETROL",18252831,175.198283335871,7.42934710331263
"E",2007,"DIESEL",5570461,164.608757751796,5.62784238540677
"E",2007,"ELECTRIC DIESEL",10,141.2,3.11878503
"E",2007,"HYBRID ELECTRIC",29472,128.48332153098,1.65530763706885
"E",2007,"OTHER",40215,204.152096288186,8.42256310953277
"E",2007,"PETROL",18068469,174.213597606869,7.61833027693643
"E",2008,"DIESEL",6021881,163.809362592863,5.70570719508586
"E",2008,"ELECTRIC DIESEL",11,128.857142857143,3.10791385454545
"E",2008,"HYBRID ELECTRIC",43197,127.454660441582,2.08931827788653
"E",2008,"OTHER",44499,213.28946998002,8.76813379910021
"E",2008,"PETROL",17830575,172.940530979783,7.83654706626781
"E",2009,"DIESEL",6419209,162.621113807697,5.82716073247473
"E",2009,"ELECTRIC DIESEL",14,129.625,4.20135619
"E",2009,"HYBRID ELECTRIC",55923,125.041616582167,2.49713689561463
"E",2009,"OTHER",45973,216.302407933442,9.32455709856819
"E",2009,"PETROL",17462836,170.971279500061,8.07453287165083
"E",2010,"DIESEL",6868308,160.80102900682,5.99049606369809
"E",2010,"ELECTRIC DIESEL",11,129.625,5.199557
"E",2010,"HYBRID ELECTRIC",74559,120.451807299321,2.83932116240059
"E",2010,"OTHER",45956,209.56635280763,9.99548015892726
"E",2010,"PETROL",17066582,168.962186853002,8.36932499799354
"E",2011,"DIESEL",7349667,158.834479262575,6.20083650920107
"E",2011,"ELECTRIC DIESEL",41,129.625,6.34331143333333
"E",2011,"HYBRID ELECTRIC",92489,117.171572785191,3.28708378503618
"E",2011,"OTHER",46078,206.981816187067,10.5294518639739
"E",2011,"PETROL",16650228,167.0519809128,8.67024311993362
"E",2012,"DIESEL",7858287,156.806999482402,6.42437637289916
"E",2012,"ELECTRIC DIESEL",1189,105.10553001845,0.585710162176471
"E",2012,"HYBRID ELECTRIC",111662,113.717622127212,3.65766862094361
"E",2012,"OTHER",46185,206.438875050028,11.1020343702475
"E",2012,"PETROL",16298246,164.850813439289,8.94995286765924
"E",2013,"DIESEL",8418089,154.278556689197,6.59687169184935
"E",2013,"ELECTRIC DIESEL",3953,105.604550854756,0.970369319777599
"E",2013,"HYBRID ELECTRIC",134953,109.732563134647,3.90422982137089
"E",2013,"OTHER",46015,197.218407356719,11.4917738295477
"E",2013,"PETROL",16054194,162.242079734503,9.16946694706491
"E",2014,"DIESEL",9031319,151.584187702472,6.75814315523079
"E",2014,"ELECTRIC DIESEL",5974,104.513217340778,1.57458311462149
"E",2014,"HYBRID ELECTRIC",169431,105.374042780688,4.0462209825132
"E",2014,"OTHER",49015,170.738607183851,11.2249164558276
"E",2014,"PETROL",15938481,159.595054615759,9.35164170781269
"E",2015,"DIESEL",9606584,148.727603303495,6.90487517258556
"E",2015,"ELECTRIC DIESEL",8764,107.201157021675,1.9765160022799
"E",2015,"HYBRID ELECTRIC",219671,100.58514061296,4.126177972143
"E",2015,"OTHER",53365,138.283584589585,10.440368420984
"E",2015,"PETROL",15821432,156.634670576057,9.46115450216782
"E",2016,"DIESEL",10143917,145.953118845756,7.05410534207466
"E",2016,"ELECTRIC DIESEL",10042,106.769113582548,2.71323311274232
"E",2016,"HYBRID ELECTRIC",286441,96.8785712106444,4.21365067975217
"E",2016,"OTHER",57016,112.750219268419,9.84801870100814
"E",2016,"PETROL",15765715,153.59638637194,9.51986015504811
"E",2017,"DIESEL",10385821,143.670954807575,7.26112782834308
"E",2017,"ELECTRIC DIESEL",10706,104.946182891311,3.41382836378689
"E",2017,"HYBRID ELECTRIC",372608,93.6333700892103,4.20373099989463
"E",2017,"OTHER",64230,87.5664608973335,8.92400448424479
"E",2017,"PETROL",15721993,150.548370853124,9.52923742170564
"E",2018,"DIESEL",10373790,141.960147256365,7.55861614681742
"E",2018,"ELECTRIC DIESEL",10458,103.823462075256,4.26240760683512
"E",2018,"HYBRID ELECTRIC",477119,91.179387984612,4.21197252917676
"E",2018,"OTHER",72681,68.0245417350927,8.25060229126537
"E",2018,"PETROL",15837198,147.760515567824,9.56746485473983
"S",2001,"DIESEL",291805,164.421439687924,5.45992377372221
"S",2001,"HYBRID ELECTRIC",25,116.769230769231,0.815368198333333
