"","from","to","value"
"4299","Income","dom",0.635888101408262
"4300","IMD","dom",-0.562561184612556
"4305","SelfEmployed","dom",0.605571521392228
"4307","Unemployed","dom",-0.503530525822085
"4310","Sick","dom",-0.534604384671568
"4315","AB","dom",0.660736357375997
"4318","DE","dom",-0.607894301508766
"4319","Outright","dom",0.619314860848145
"4321","Social","dom",-0.564755871796528
"4323","Detached","dom",0.589473673283319
"4331","Rooms","dom",0.777457474866336
"4334","hhnocar","dom",-0.559125747794919
"4336","totalcar","dom",0.505186102136616
"4337","percNoCar","dom",-0.584773087693781
"4338","carsHHcar","dom",0.688517201475979
"4339","carsHH","dom",0.662932200816387
"4350","home","dom",0.649111982619564
"4352","all","dom",0.933699886260653
"4357","Region","Reg",1
"4427","nrgHH","SGN",0.55948636554186
"4429","SupergroupName","SGN",1
"4434","IMD","SGN",-0.584998421334244
"4441","Unemployed","SGN",-0.5021959927878
"4444","Sick","SGN",-0.506852130378065
"4453","Outright","SGN",0.569187558528884
"4454","Mortgage","SGN",0.533034033848883
"4455","Social","SGN",-0.580908146002843
"4465","Rooms","SGN",0.548230529982161
"4468","hhnocar","SGN",-0.611279799887185
"4470","totalcar","SGN",0.522731050790133
"4471","percNoCar","SGN",-0.644093693954012
"4472","carsHHcar","SGN",0.531291114575465
"4473","carsHH","SGN",0.609289110824836
"4481","motor","SGN",0.542124518253506
"4486","all","SGN",0.527775089530186
