"","LSOA","cars_total","cars_miles","pu5k","p5_12k","po12k","age_av","miles_av_u3","miles_av_o13","pcars_diesel","pmiles_diesel","vans_total","vans_miles","pmiles_car","pmiles_vans","cars_percap","miles_percap"
"10493","E01010803",289,2526418,0.397923875432526,0.391003460207612,0.211072664359862,8.89398880702178,12667.4285714286,9352.72265625,0.359861591695502,0.518518709097228,17,91822,0.930177194105729,0.0338070463071338,0.537174721189591,4695.94423791822
"10499","E01010809",371,3370337,0.355795148247978,0.431266846361186,0.212938005390836,8.53239021384386,12697.125,9516.6401179941,0.401617250673854,0.548195922247538,16,146467,0.868919461024738,0.0377612169637369,0.771309771309771,7006.93762993763
"10501","E01010811",308,2616596,0.350649350649351,0.457792207792208,0.191558441558442,8.67509355805044,10418.375,8775.24647887324,0.37987012987013,0.510818253945202,13,195367,0.919787554973437,0.0686755369390214,0.557971014492754,4740.21014492754
"10503","E01010813",228,1724682,0.442982456140351,0.385964912280702,0.171052631578947,9.0975659545853,10597.1111111111,7726.58173076923,0.350877192982456,0.502794138281724,24,216607,0.784552608834099,0.0985338670791066,0.429378531073446,3247.98870056497
